"","Method","Parameter","Choice","Measure","Mean","S.d."
"1","iSSVD","5","Overall","CSR",0.875,0
"2","iSSVD","5","Overall","Rel",0.751166755439743,0.0106238602703446
"3","iSSVD","5","Overall","Rec",0.617744201623284,0.0079072117873612
"4","iSSVD","5","Overall","F_score",0.677952263454366,0.00908763675805692
"5","iSSVD","5","Overall","BiS",0.394284355640656,0.00434511090117936
"6","iSSVD","10","Overall","CSR",0.990363636363636,0.0343525618508772
"7","iSSVD","10","Overall","Rel",0.554042248369811,0.047094509432572
"8","iSSVD","10","Overall","Rec",0.553265620116937,0.0247097020668828
"9","iSSVD","10","Overall","F_score",0.55310136743095,0.035311226726518
"10","iSSVD","10","Overall","BiS",0.308487088223714,0.0516446924243604
"11","iSSVD","15","Overall","CSR",0.937930569430569,0.100700633296219
"12","iSSVD","15","Overall","Rel",0.46420469515388,0.0847824695413639
"13","iSSVD","15","Overall","Rec",0.508150823460123,0.0219017573273131
"14","iSSVD","15","Overall","F_score",0.480908286149211,0.0577155913908174
"15","iSSVD","15","Overall","BiS",0.246221346242813,0.0937386054032459
"16","iSSVD","20","Overall","CSR",0.95311038961039,0.0720020563257763
"17","iSSVD","20","Overall","Rel",0.465824595872737,0.0614299336787296
"18","iSSVD","20","Overall","Rec",0.498340964380491,0.0184067437629921
"19","iSSVD","20","Overall","F_score",0.479381340228939,0.040015034556227
"20","iSSVD","20","Overall","BiS",0.257355854525755,0.0808399481634226
"21","iSSVD","25","Overall","CSR",0.922578921078921,0.103355551641144
"22","iSSVD","25","Overall","Rel",0.440444917061304,0.0810050968023375
"23","iSSVD","25","Overall","Rec",0.495851794248964,0.0180712060856743
"24","iSSVD","25","Overall","F_score",0.462354931965344,0.0537658842397521
"25","iSSVD","25","Overall","BiS",0.235019778406812,0.09904693496715
"26","iSSVD","30","Overall","CSR",0.939604895104895,0.091864829220509
"27","iSSVD","30","Overall","Rel",0.452824232041216,0.070313499930094
"28","iSSVD","30","Overall","Rec",0.493395474730889,0.0162769541731439
"29","iSSVD","30","Overall","F_score",0.469086152142882,0.0464716543687391
"30","iSSVD","30","Overall","BiS",0.247494710661368,0.089674692347134
"31","iSSVD","35","Overall","CSR",0.95420979020979,0.0728767108635206
"32","iSSVD","35","Overall","Rel",0.468414798712658,0.0607683627029415
"33","iSSVD","35","Overall","Rec",0.498012319430039,0.0151785736003005
"34","iSSVD","35","Overall","F_score",0.48069855576002,0.0388822569291389
"35","iSSVD","35","Overall","BiS",0.267889606424932,0.0864617687685905
"36","iSSVD","40","Overall","CSR",1,0
"37","iSSVD","40","Overall","Rel",0.510004995659974,0.0164619032898131
"38","iSSVD","40","Overall","Rec",0.50047060675887,0.015488847611327
"39","iSSVD","40","Overall","F_score",0.505181120240319,0.0158959741845467
"40","iSSVD","40","Overall","BiS",0.315010606668521,0.0365819330501415
"41","iSSVD","45","Overall","CSR",1,0
"42","iSSVD","45","Overall","Rel",0.513944593622688,0.0162688463038339
"43","iSSVD","45","Overall","Rec",0.504400169303718,0.0157741711542836
"44","iSSVD","45","Overall","F_score",0.509118167941676,0.0159438607360747
"45","iSSVD","45","Overall","BiS",0.324397421601962,0.0358086139944436
"46","iSSVD","50","Overall","CSR",1,0
"47","iSSVD","50","Overall","Rel",0.513729341988905,0.0186877165275932
"48","iSSVD","50","Overall","Rec",0.504178404804552,0.0177199117501781
"49","iSSVD","50","Overall","F_score",0.508896521720916,0.018118397450144
"50","iSSVD","50","Overall","BiS",0.326058453907175,0.0406461869842106
"51","iSSVD","55","Overall","CSR",1,0
"52","iSSVD","55","Overall","Rel",0.510323933943089,0.0159877773311902
"53","iSSVD","55","Overall","Rec",0.502138485422123,0.0158379901640072
"54","iSSVD","55","Overall","F_score",0.506181800245522,0.0157647179866395
"55","iSSVD","55","Overall","BiS",0.333337345268807,0.0406505551011647
"56","iSSVD","60","Overall","CSR",1,0
"57","iSSVD","60","Overall","Rel",0.515713205202786,0.0198549965034345
"58","iSSVD","60","Overall","Rec",0.507410610810272,0.0185198764428394
"59","iSSVD","60","Overall","F_score",0.511508882164735,0.0190685573784221
"60","iSSVD","60","Overall","BiS",0.339771588854609,0.0459488986998829
"61","iSSVD","65","Overall","CSR",1,0
"62","iSSVD","65","Overall","Rel",0.516240783265275,0.0182276098771527
"63","iSSVD","65","Overall","Rec",0.507913910795099,0.0167973218571759
"64","iSSVD","65","Overall","F_score",0.512028686530821,0.0174056717855639
"65","iSSVD","65","Overall","BiS",0.344542246088162,0.046472113404941
"66","iSSVD","70","Overall","CSR",1,0
"67","iSSVD","70","Overall","Rel",0.515630253168239,0.0165774580895747
"68","iSSVD","70","Overall","Rec",0.507399636942518,0.0155017906223366
"69","iSSVD","70","Overall","F_score",0.511466422390312,0.0159248670300009
