"","Method","Noise","Choice","Measure","Mean","S.d."
"76","ResNMTF","70","Overall","CSR",0.78062962962963,0.0406397926299874
"77","ResNMTF","70","Overall","Rel",0.561042493572289,0.0382966794071681
"78","ResNMTF","70","Overall","Rec",0.376240911698739,0.0257137619730362
"79","ResNMTF","70","Overall","F_score",0.450039378671825,0.0278259658940692
"80","ResNMTF","70","Overall","BiS",0.0603128249476138,0.00835546485884306
"81","ResNMTF","80","Overall","CSR",0.775333333333334,0.0412803767134018
"82","ResNMTF","80","Overall","Rel",0.538568159440553,0.0389590206193146
"83","ResNMTF","80","Overall","Rec",0.35915541981362,0.0245655030211411
"84","ResNMTF","80","Overall","F_score",0.430738378847119,0.0288457315837676
"85","ResNMTF","80","Overall","BiS",0.0489760423455858,0.00763980725271869
"86","ResNMTF","90","Overall","CSR",0.781851851851852,0.020472992533058
"87","ResNMTF","90","Overall","Rel",0.518921237573244,0.0256994881140955
"88","ResNMTF","90","Overall","Rec",0.346571359128486,0.0162672044669196
"89","ResNMTF","90","Overall","F_score",0.415371762004174,0.0180496344877972
"90","ResNMTF","90","Overall","BiS",0.0386155047593137,0.00671168721372578
"91","ResNMTF","100","Overall","CSR",0.780743386243386,0.0358877480202198
"92","ResNMTF","100","Overall","Rel",0.496558180120012,0.0311122925930885
"93","ResNMTF","100","Overall","Rec",0.331451086293289,0.0210005481830177
"94","ResNMTF","100","Overall","F_score",0.396686432086329,0.021666034914138
"95","ResNMTF","100","Overall","BiS",0.0297056767594741,0.00564347892923039
"96","GFA","1","Overall","CSR",0.9035,0.0177738316327429
"97","GFA","1","Overall","Rel",0.281451660008801,0.062820657235022
"98","GFA","1","Overall","Rec",0.209923353571759,0.0492917991592613
"99","GFA","1","Overall","F_score",0.239835877144502,0.0542063056665415
"100","GFA","1","Overall","BiS",0.223830204626958,0.111662912111678
"101","GFA","2","Overall","CSR",0.905,0.021904291355759
"102","GFA","2","Overall","Rel",0.286635128335094,0.06447236014043
"103","GFA","2","Overall","Rec",0.216746104971271,0.0503470802334243
"104","GFA","2","Overall","F_score",0.24615319793947,0.0545353261330509
"105","GFA","2","Overall","BiS",0.218057966293983,0.094088965276774
"106","GFA","3","Overall","CSR",0.904,0.0196946385566932
"107","GFA","3","Overall","Rel",0.282026654707853,0.0606719139203911
"108","GFA","3","Overall","Rec",0.213409189694669,0.0492900499578897
"109","GFA","3","Overall","F_score",0.242452086568028,0.0528422299470084
