"","rep","omega","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C","k"
"29","2","0.25","0.268219179453104","0.274136448702084","0.271177814077594","0.5","0.373963173292032","0.436981586646016","0.183264696150858","0.216376365832047","0.199820530991453","0.0319271699718167","-0.0223246595321173","0.00480125521984965","0.0460699501766059","-0.000573475327739348","0.0227482374244333","-0.145428947830092","-0.0882555599352877","-0.11684225388269","2"
"30","2","0.3","0","0.172806119904931","0.0864030599524657","0","0.251282051282051","0.125641025641026","0","0.131681653113108","0.0658408265565541","0","-0.0172806477383942","-0.0172806477383942","0","0.0125824088888455","0.0125824088888455","0","-0.0724307855940501","-0.0724307855940501","1"
"31","2","0.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","2","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","2","0.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","2","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","2","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","2","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","2","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","2","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","2","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","2","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","2","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","2","0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","2","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","3","none","0.627644341288459","0.533258197718824","0.580451269503641","0.545533943550504","0.466351026249988","0.505942484900246","0.738851738855647","0.622579380770904","0.680715559813275","0.113616649399984","0.0321562563030413","0.0728864528515128","0.0455723420569211","0.0239060849504287","0.0347392135036749","0.109351753697325","-0.0873082544558972","0.0110217496207139","8"
"46","3","0","0.627644341288459","0.533258197718824","0.580451269503641","0.545533943550504","0.466351026249988","0.505942484900246","0.738851738855647","0.622579380770904","0.680715559813275","0.113616649399984","0.0327261631792009","0.0731714062895926","0.0455723420569211","0.0232374901149822","0.0344049160859516","0.109351753697325","-0.0675804688479469","0.020885642424689","8"
"47","3","0.05","0.627644341288459","0.533258197718824","0.580451269503641","0.545533943550504","0.466351026249988","0.505942484900246","0.738851738855647","0.622579380770904","0.680715559813275","0.113616649399984","0.0404327454103776","0.077024697405181","0.0455723420569211","0.0234014189445658","0.0344868805007434","0.109351753697325","-0.0713024840713136","0.0190246348130056","8"
"48","3","0.1","0.627644341288459","0.533258197718824","0.580451269503641","0.545533943550504","0.466351026249988","0.505942484900246","0.738851738855647","0.622579380770904","0.680715559813275","0.113616649399984","0.0429267202827513","0.0782716848413678","0.0455723420569211","0.0245648161151515","0.0350685790860363","0.109351753697325","-0.0688056077854855","0.0202730729559197","8"
"49","3","0.15","0.627644341288459","0.438272184986136","0.532958263137298","0.545533943550504","0.405022290869552","0.475278117210028","0.738851738855647","0.477469564544996","0.608160651700321","0.113616649399984","0","0.113616649399984","0.0455723420569211","0","0.0455723420569211","0.109351753697325","0","0.109351753697325","8"
"50","3","0.2","0.627644341288459","0.438272184986136","0.532958263137298","0.545533943550504","0.405022290869552","0.475278117210028","0.738851738855647","0.477469564544996","0.608160651700321","0.113616649399984","0","0.113616649399984","0.0455723420569211","0","0.0455723420569211","0.109351753697325","0","0.109351753697325","8"
"51","3","0.25","0.558803906916531","0.450940300947369","0.50487210393195","0.508229268819624","0.44417549055056","0.476202379685092","0.620556380205858","0.457914354793327","0.539235367499592","0.121336562646674","0","0.121336562646674","0.0535165314122978","0","0.0535165314122978","0.110031100764476","0","0.110031100764476","7"
"52","3","0.3","0.438993505242215","0.450940300947369","0.444966903094792","0.50997711427826","0.44417549055056","0.47707630241441","0.385355897577957","0.457914354793327","0.421635126185642","0","0","0","0","0","0","0","0","0","6"
"53","3","0.35","0.345248819493474","0.500806976889956","0.423027898191715","0.563522082545333","0.552565530022871","0.558043806284102","0.248857114400784","0.457914354793327","0.353385734597055","0","0","0","0","0","0","0","0","0","4"
"54","3","0.4","0.305403481775351","0.461551957196469","0.38347771948591","0.891089108910891","0.761713803292528","0.82640145610171","0.184281129539126","0.331084432471601","0.257682781005363","-0.00251878919174411","0","-0.00251878919174411","0.0287433234367425","0","0.0287433234367425","-0.100278241920351","0","-0.100278241920351","2"
"55","3","0.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","3","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","3","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","3","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","3","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","3","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","3","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","3","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","3","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","3","0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","3","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
