"","rep","omega","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C","k"
"1","1","none","0.611565872985571","0.487580942101132","0.549573407543351","0.551829924620965","0.433276765164654","0.492553344892809","0.685804675273186","0.557447952468574","0.62162631387088","0.0614591156260304","0.212384619751636","0.136921867688833","0.0318400846314695","0.118449929106907","0.075145006869188","0.0656293331188255","0.246226032826234","0.15592768297253","8"
"2","1","0","0.611565872985571","0.487580942101132","0.549573407543351","0.551829924620965","0.433276765164654","0.492553344892809","0.685804675273186","0.557447952468574","0.62162631387088","0.0614591156260304","0.212384619751636","0.136921867688833","0.0318400846314695","0.118449929106907","0.075145006869188","0.0656293331188255","0.246226032826234","0.15592768297253","8"
"3","1","0.05","0.611565872985571","0.487580942101132","0.549573407543351","0.551829924620965","0.433276765164654","0.492553344892809","0.685804675273186","0.557447952468574","0.62162631387088","0.0614591156260304","0.212384619751636","0.136921867688833","0.0318400846314695","0.118449929106907","0.075145006869188","0.0656293331188255","0.246226032826234","0.15592768297253","8"
"4","1","0.1","0.611565872985571","0.483755267222495","0.547660570104033","0.551829924620965","0.439873906731955","0.49585191567646","0.685804675273186","0.537361930963198","0.611583303118192","0.0614591156260304","0.141011026123356","0.101235070874693","0.0318400846314695","0.0722835703641459","0.0520618274978077","0.0656293331188255","0.122406891715951","0.0940181124173881","8"
"5","1","0.15","0.641048566866142","0.430364794276329","0.535706680571236","0.601776216373539","0.44467592844113","0.523226072407335","0.685804675273186","0.416946097296664","0.551375386284925","0.0885152433272053","0","0.0885152433272053","0.0391842850159098","0","0.0391842850159098","0.0955843163817565","0","0.0955843163817565","7"
"6","1","0.2","0.641048566866142","0.430364794276329","0.535706680571236","0.601776216373539","0.44467592844113","0.523226072407335","0.685804675273186","0.416946097296664","0.551375386284925","0.0885152433272053","0","0.0885152433272053","0.0391842850159098","0","0.0391842850159098","0.0955843163817565","0","0.0955843163817565","7"
"7","1","0.25","0.660800849800607","0.430364794276329","0.545582822038468","0.637556123403538","0.44467592844113","0.541116025922334","0.685804675273186","0.416946097296664","0.551375386284925","-0.0167213627346311","0","-0.0167213627346311","-0.00509429893407519","0","-0.00509429893407519","-0.15466992194494","0","-0.15466992194494","6"
"8","1","0.3","0.685804675273186","0.430364794276329","0.558084734774757","0.685804675273186","0.44467592844113","0.565240301857158","0.685804675273186","0.416946097296664","0.551375386284925","-0.0173360369521796","0","-0.0173360369521796","-0.0118974759520746","0","-0.0118974759520746","-0.160058824195959","0","-0.160058824195959","5"
"9","1","0.35","0.685804675273186","0.142416381985969","0.414110528629577","0.685804675273186","0.192307692307692","0.439056183790439","0.685804675273186","0.113079597641606","0.399442136457396","-0.0236014503366946","0.122884124086536","0.0496413368749209","-0.0110728396291783","0.0519044727488152","0.0204158165598185","-0.146420045055454","0.14948779762881","0.00153387628667795","5"
"10","1","0.4","0.468209160965555","0","0.234104580482778","0.808645667198299","0","0.404322833599149","0.329493676006512","0","0.164746838003256","0","0","0","0","0","0","0","0","0","2"
"11","1","0.45","0.274336301547406","0","0.137168150773703","0.808080808080808","0","0.404040404040404","0.165212191054888","0","0.0826060955274438","-0.0011311053276456","0","-0.0011311053276456","0.0123074655766807","0","0.0123074655766807","-0.145295475555582","0","-0.145295475555582","1"
"12","1","0.5","0.274336301547406","0","0.137168150773703","0.808080808080808","0","0.404040404040404","0.165212191054888","0","0.0826060955274438","-0.0104291889131592","0","-0.0104291889131592","0.0177171775949708","0","0.0177171775949708","-0.129547301398319","0","-0.129547301398319","1"
"13","1","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","1","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","1","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","1","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","1","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","1","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","1","0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","1","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","2","none","0.669187537836173","0.469671509983845","0.569429523910009","0.643753189529966","0.445584926091328","0.544669057810647","0.696714353751748","0.496510956535724","0.596612655143736","0.0699920333207903","0.0700344627843446","0.0700132480525675","0.0303802109545579","0.0459252241787619","0.0381527175666599","0.0806261634511013","0.017566996697212","0.0490965800741566","6"
"24","2","0","0.669187537836173","0.469671509983845","0.569429523910009","0.643753189529966","0.445584926091328","0.544669057810647","0.696714353751748","0.496510956535724","0.596612655143736","0.0699920333207903","0.071694679158613","0.0708433562397016","0.0303802109545579","0.04838715350568","0.0393836822301189","0.0806261634511013","-0.00303898197806771","0.0387935907365168","6"
"25","2","0.05","0.669187537836173","0.469671509983845","0.569429523910009","0.643753189529966","0.445584926091328","0.544669057810647","0.696714353751748","0.496510956535724","0.596612655143736","0.0699920333207903","0.0736345318174492","0.0718132825691197","0.0303802109545579","0.0487575767072154","0.0395688938308867","0.0806261634511013","-0.000781357875294209","0.0399224027879035","6"
"26","2","0.1","0.669187537836173","0.469671509983845","0.569429523910009","0.643753189529966","0.445584926091328","0.544669057810647","0.696714353751748","0.496510956535724","0.596612655143736","0.0699920333207903","0.0639438098144126","0.0669679215676015","0.0303802109545579","0.0415475834763678","0.0359638972154629","0.0806261634511013","0.0127326191964603","0.0466793913237808","6"
"27","2","0.15","0.669187537836173","0.470209590632334","0.569698564234253","0.643753189529966","0.474551535369744","0.559152362449855","0.696714353751748","0.465946379412443","0.581330366582095","0.0699920333207903","0.0864962303696347","0.0782441318452125","0.0303802109545579","0.0500853656712888","0.0402327883129234","0.0806261634511013","0.0140017782110895","0.0473139708310954","6"
"28","2","0.2","0.669187537836173","0.508373501119755","0.588780519477964","0.643753189529966","0.598378745437569","0.621065967483767","0.696714353751748","0.441904376541123","0.569309365146436","0.0699920333207903","0.122071476348614","0.0960317548347022","0.0303802109545579","0.0571697133419477","0.0437749621482528","0.0806261634511013","0.063725223628071","0.0721756935395861","6"
"29","2","0.25","0.597742319871968","0.286702735834544","0.442222527853256","0.664259544365386","0.80672268907563","0.735491116720508","0.543334240996896","0.174328912511557","0.358831576754227","0.0746328243676399","0.0754002776213476","0.0750165509944937","0.0242873463804282","0.00357293896576976","0.013930142673099","0.0850598544838853","0.0235218808391163","0.0542908676615008","4"
"30","2","0.3","0.483100247358377","0","0.241550123679189","0.619529521686148","0","0.309764760843074","0.395914257166583","0","0.197957128583291","-0.0437623023100335","0","-0.0437623023100335","-0.0365944183584713","0","-0.0365944183584713","-0.194725071448702","0","-0.194725071448702","3"
"31","2","0.35","0.449983390698743","0","0.224991695349371","0.739820598318696","0","0.369910299159348","0.323318076568882","0","0.161659038284441","0","0","0","0","0","0","0","0","0","2"
"32","2","0.4","0.308659427473541","0","0.154329713736771","0.909547738693467","0","0.454773869346734","0.185867176767316","0","0.0929335883836582","-0.0213342370699777","0","-0.0213342370699777","0.0182240496717608","0","0.0182240496717608","-0.117419203902968","0","-0.117419203902968","1"
