"","method","rep","psi","F score (V1)","F score (V2)","F score (V3)","F.score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS - E (V1)","BiS - E (V2)","BiS - E (V3)","BiS.E","BiS - C (V1)","BiS - C (V2)","BiS - C (V3)","BiS.C","BiS - M (V1)","BiS - M (V2)","BiS - M (V3)","BiS.M","k"
"1","ResNMTF - BiS (E)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","ResNMTF - BiS (C)","1","1700","0.456251515053147","0.456251515053147","0.456251515053147","0.456251515053147","0.449114041225144","0.449114041225144","0.449114041225144","0.449114041225144","0.463619514824846","0.463619514824846","0.463619514824846","0.463619514824846","0.0034717875316257","-0.226273375235441","-0.233961407395322","-0.152254331699713","0.0459458530415993","0.0397366137019585","0.0427974828237117","0.0428266498557565","0.00227694225003177","-0.279773047777034","-0.30006350652056","-0.192519870682521","8"
"3","ResNMTF - BiS (M)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","ResNMTF - F score","3","350","0.515230050635899","0.515205187040499","0.510515467553416","0.513650235076605","0.48858086895044","0.488930601287266","0.484756834512078","0.487422768249928","0.544954054439363","0.544464080068791","0.539165210729966","0.542861115079373","-0.239631918679367","-0.222580683926312","-0.232186238954434","-0.231466280520037","0.0374819812117206","0.0373335863728036","0.0373001112189825","0.0373718929345022","-0.306828283427087","-0.278829831808801","-0.299035971081259","-0.294898028772382","8"
