"","method","rep","omega","F score (V1)","F score (V2)","F.score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS - E (V1)","BiS - E (V2)","BiS.E","BiS - C (V1)","BiS - C (V2)","BiS.C","BiS - M (V1)","BiS - M (V2)","BiS.M","k"
"1","ResNMTF - BiS/BiS","4","0.25","0.257098693326408","0.259354427074358","0.258226560200383","0.612335872912952","0.642105263157895","0.627220568035423","0.162706838926653","0.162493878673317","0.162600358799985","0","0.36768786129115","0.36768786129115","0","0.2927557995756","0.2927557995756","0","0.407021180263414","0.407021180263414","2"
"2","ResNMTF - BiS/F","3","0.15","0.692208705743941","0.412591959767534","0.552400332755737","0.692208705743941","0.467333522910236","0.579771114327088","0.692208705743941","0.369330119811632","0.530769412777787","0.0654882366605275","0.0907813012232695","0.0781347689418985","0.02308593424185","0.0465465967892052","0.0348162655155276","0.0837772597198524","0.0126355937755713","0.0482064267477119","5"
"3","ResNMTF - F/F","3","none","0.627644341288459","0.533258197718824","0.580451269503641","0.545533943550504","0.466351026249988","0.505942484900246","0.738851738855647","0.622579380770904","0.680715559813275","0.113616649399984","0.0321562563030413","0.0728864528515128","0.0455723420569211","0.0239060849504287","0.0347392135036749","0.109351753697325","-0.0873082544558972","0.0110217496207139","8"
"4","NMTF","2","0.2","0.669187537836173","0.508373501119755","0.588780519477964","0.643753189529966","0.598378745437569","0.621065967483767","0.696714353751748","0.441904376541123","0.569309365146436","0.0699920333207903","0.122071476348614","0.0960317548347022","0.0303802109545579","0.0571697133419477","0.0437749621482528","0.0806261634511013","0.063725223628071","0.0721756935395861","6"
