"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","0.522081865152508","0.563518875741722","0.522081865152508","0.624661043987351","0.597544724725268","0.565989545994591","0.597544724725268","0.624661043987351","0.567006571447566","0.514958455866837","0.514958455866837","0.622276777396641"
"2","200","250","200","600","1850","200","1850","600","100","100","100","500"
