"","rep","method","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-C (V1)","BiS-C (V2)","BiS-C","BiS-M (V1)","BiS-M (V2)","BiS-M"
"1","1","gfa","0.0511660838388491","0.0505805555615257","0.0508733197001874","0.0372169727411093","0.0355500389260809","0.0363835058335951","0.0818402127658519","0.0876307300748227","0.0847354714203373","-0.208770475454326","-0.408090855387767","-0.308430665421047","-0.0183379304087945","-0.0477291657561749","-0.0330335480824847","-0.301560017602318","-0.50189443623425","-0.401727226918284"
"2","2","gfa","0.0511437698156596","0.0486639304220604","0.04990385011886","0.0361124388101013","0.0326124971210216","0.0343624679655615","0.087610493485921","0.0958303348165397","0.0917204141512304","-0.293349439558846","-0.423599252416466","-0.358474345987656","0.0511327783413949","-0.0202915201392346","0.0154206291010801","-0.409466895059902","-0.535315092962978","-0.47239099401144"
"3","3","gfa","0.0473375935225663","0.0459823966523702","0.0466599950874683","0.0319855645850099","0.0300544389273843","0.0310200017561971","0.0910281305794901","0.0978286886962893","0.0944284096378897","-0.208356002534623","-0.215688562868508","-0.212022282701566","0.252213276532384","0.250604372745224","0.251408824638804","-0.358630830127098","-0.375388079453815","-0.367009454790456"
"4","4","gfa","0.0462387795903751","0.045586851099335","0.045912815344855","0.0319700594108641","0.0299185521723031","0.0309443057915836","0.0835109994373652","0.0957100592888799","0.0896105293631226","-0.453267812853116","-0.399590364897819","-0.426429088875467","-0.189844562019521","-0.044386065983465","-0.117115314001493","-0.528782174788007","-0.465978891501411","-0.497380533144709"
"5","5","gfa","0.0524753819819252","0.0525416734558366","0.0525085277188809","0.0391702958260881","0.0371172987639982","0.0381437972950432","0.0794687637186678","0.0899005124774105","0.0846846380980391","-0.345118452158498","-0.329166491269849","-0.337142471714174","0.0485759170187486","0.206800190582897","0.127688053800823","-0.460220271230035","-0.454769860645519","-0.457495065937777"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
