"","rep","omega","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C","k"
"70","4","0.1","0.532108879781686","0.415069420474054","0.47358915012787","0.638826404210228","0.44620315581854","0.542514780014384","0.455942553163715","0.387997007413453","0.421969780288584","0.0902606177399815","0.113354426305917","0.101807522022949","0.0389403735476895","0.0561144647273437","0.0475274191375166","0.097218383842165","0.116967058222644","0.107092721032405","4"
"71","4","0.15","0.425636214690727","0.415069420474054","0.42035281758239","0.609402397013016","0.44620315581854","0.527802776415778","0.32702219458245","0.387997007413453","0.357509600997951","0.227215648267585","0.113354426305917","0.170285037286751","0.0704952007992146","0.0561144647273437","0.0633048327632792","0.248243554315706","0.116967058222644","0.182605306269175","4"
"72","4","0.2","0.268198953079205","0.415069420474054","0.341634186776629","0.498525073746313","0.44620315581854","0.472364114782427","0.183444719426027","0.387997007413453","0.28572086341974","0.0834669885205764","0.113354426305917","0.0984107074132465","0.0560401869443232","0.0561144647273437","0.0560773258358334","0.0183476051579817","0.116967058222644","0.067657331690313","4"
"73","4","0.25","0","0.172806119904931","0.0864030599524657","0","0.251282051282051","0.125641025641026","0","0.131681653113108","0.0658408265565541","0","0.0624986481333514","0.0312493240666757","0","0.019288165901999","0.00964408295099952","0","0.0919865461685815","0.0459932730842907","1"
"74","4","0.3","0","0.172806119904931","0.0864030599524657","0","0.251282051282051","0.125641025641026","0","0.131681653113108","0.0658408265565541","0","0.0624986481333514","0.0312493240666757","0","0.019288165901999","0.00964408295099952","0","0.0919865461685815","0.0459932730842907","1"
"75","4","0.35","0","0.172806119904931","0.0864030599524657","0","0.251282051282051","0.125641025641026","0","0.131681653113108","0.0658408265565541","0","0.0624986481333514","0.0312493240666757","0","0.019288165901999","0.00964408295099952","0","0.0919865461685815","0.0459932730842907","1"
"76","4","0.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","4","0.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","4","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","4","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","4","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","4","0.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","4","0.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","4","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","4","0.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","4","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","4","0.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","4","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","5","none","0.645348171574219","0.612739506140392","0.629043838857306","0.579263059840983","0.550015416818984","0.564639238329984","0.728453663894335","0.69161127205356","0.710032467973948","0.16255985536057","0.124316250331365","0.143438052845967","0.0638718093587415","0.0717265621135773","0.0677991857361594","0.203712632157064","0.131074350058077","0.16739349110757","7"
"90","5","0","0.645348171574219","0.612739506140392","0.629043838857306","0.579263059840983","0.550015416818984","0.564639238329984","0.728453663894335","0.69161127205356","0.710032467973948","0.16255985536057","0.124316250331365","0.143438052845967","0.0638718093587415","0.0717265621135773","0.0677991857361594","0.203712632157064","0.131074350058077","0.16739349110757","7"
"91","5","0.05","0.645348171574219","0.612739506140392","0.629043838857306","0.579263059840983","0.550015416818984","0.564639238329984","0.728453663894335","0.69161127205356","0.710032467973948","0.16255985536057","0.124316250331365","0.143438052845967","0.0638718093587415","0.0717265621135773","0.0677991857361594","0.203712632157064","0.131074350058077","0.16739349110757","7"
"92","5","0.1","0.645348171574219","0.612739506140392","0.629043838857306","0.579263059840983","0.550015416818984","0.564639238329984","0.728453663894335","0.69161127205356","0.710032467973948","0.16255985536057","0.124316250331365","0.143438052845967","0.0638718093587415","0.0717265621135773","0.0677991857361594","0.203712632157064","0.131074350058077","0.16739349110757","7"
"93","5","0.15","0.728453663894335","0.624037699702505","0.67624568179842","0.728453663894335","0.697379258606276","0.712916461250305","0.728453663894335","0.564654461737341","0.646554062815838","0.194718937338941","0.238107893792184","0.216413415565562","0.0673360240336136","0.0954967776700439","0.0814164008518287","0.234839143407989","0.229660734604864","0.232249939006427","5"
"94","5","0.2","0.728453663894335","0.483970496584277","0.606212080239306","0.728453663894335","0.628954055722822","0.678703859808579","0.728453663894335","0.393307161755402","0.560880412824868","0.194718937338941","0.0706943267791577","0.132706632059049","0.0673360240336136","0.0314817252267464","0.04940887463018","0.234839143407989","-0.0241178008421204","0.105360671282935","5"
"95","5","0.25","0.631106966976911","0.483970496584277","0.557538731780594","0.704567079867919","0.628954055722822","0.666760567795371","0.571518832433661","0.393307161755402","0.482412997094531","0.157131321093063","0.0858668586759265","0.121499089884495","0.0604583364009924","0.0248002537450006","0.0426292950729965","0.19369997695235","-0.0419773419250332","0.0758613175136585","4"
"96","5","0.3","0.449109205486997","0.291472831435682","0.37029101846134","0.693746692179294","0.827751196172249","0.760748944175771","0.332026085636415","0.17687812037728","0.254452103006847","0.12610036439098","0.178639715624372","0.152370040007676","0.0539126005061752","0.0863263165228569","0.070119458514516","0.0556757853314277","0.155567683788015","0.105621734559721","2"
"97","5","0.35","0.306440838357513","0.291472831435682","0.298956834896598","0.891625615763547","0.827751196172249","0.859688405967898","0.185013934394922","0.17687812037728","0.180946027386101","0.222061603462445","0.178639715624372","0.200350659543409","0.0951468304507715","0.0863263165228569","0.0907365734868142","0.240563229738205","0.155567683788015","0.19806545676311","1"
