"Method","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS (V1)","BiS (V2)","BiS"
"ResNMTF - BiS",0.5297491,0.523615,0.5266821,0.5782072,0.5721701,0.5751886,0.4887852,0.4826562,0.4857207,0.28369718,0.332842,0.3082696
"ResNMTF - F score",0.6567083,0.5558984,0.6063034,0.5933099,0.5027748,0.5480423,0.7352766,0.6215746,0.6784256,0.1750249,0.2541599,0.2145924
"NMTF",0.6680678,0.4723054,0.5701866,0.6427295,0.4488205,0.545775,0.695486,0.4983836,0.5969348,0.06932304,0.2887885,0.1790558
"ConcNMTF",0.678744799243995,0.678744799243995,0.678744799243995,0.620572979219627,0.620572979219627,0.620572979219627,0.748950593913044,0.748950593913044,0.748950593913044,0.0974147877347328,0.0974147877347328,0.0974147877347328
"GFA",0.330340432922104,0.330340432922104,0.330340432922104,0.277781430931498,0.277781430931498,0.277781430931498,0.407430283844933,0.407430283844933,0.407430283844933,-0.416886853669216,-0.40329998561736,-0.410093419643288
"iSSVD",0.509046427289877,0.509046427289877,0.509046427289877,0.511564352686692,0.511564352686692,0.511564352686692,0.506553167004365,0.506553167004365,0.506553167004365,-0.0591967029180357,-0.0384044064559377,-0.0488005546869867
