"rep","method","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E","BiS-C (V1)","BiS-C (V2)","BiS-C","BiS-M (V1)","BiS-M (V2)","BiS-M"
"1","Plaid","0.280028834372255","0","0.140014417186128","0.809090909090909","0","0.404545454545455","0.169314560379263","0","0.0846572801896317","0.996765198892937","0","0.996765198892937","0.996059674725375","0","0.996059674725375","0.998723927978085","0","0.998723927978085"
"2","Plaid","0.01692917243336","0","0.00846458621667999","0.0396825396825397","0","0.0198412698412698","0.0107597148803179","0","0.00537985744015895","0.995847531881565","0","0.995847531881565","0.998831861261727","0","0.998831861261727","0.999308854066931","0","0.999308854066931"
"3","Plaid","0.206931523985032","0","0.103465761992516","0.360347985347985","0","0.180173992673993","0.145139194139194","0","0.0725695970695971","0.994028644778534","0","0.994028644778534","0.99383238903291","0","0.99383238903291","0.99856657963673","0","0.99856657963673"
"4","Plaid","0.0591397849462366","0","0.0295698924731183","0.17741935483871","0","0.0887096774193548","0.0354838709677419","0","0.017741935483871","0.989418730391851","0","0.989418730391851","0.994003449863731","0","0.994003449863731","0.996643072743213","0","0.996643072743213"
"5","Plaid","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
