"","Method","Parameter","Choice","Measure","Mean","S.d."
"102","GFA","5","Overall","Rel",0.299326752263288,0.0765984678193734
"103","GFA","5","Overall","Rec",0.209776638342687,0.0524519425991972
"104","GFA","5","Overall","F_score",0.245873975796794,0.0605798444816857
"105","GFA","5","Overall","BiS",0.205961060956763,0.0989265285910903
"106","GFA","10","Overall","CSR",0.875,0
"107","GFA","10","Overall","Rel",0.323067595516481,0.0810131547420162
"108","GFA","10","Overall","Rec",0.224918760062696,0.0562789915830325
"109","GFA","10","Overall","F_score",0.264408523678626,0.0647922823596305
"110","GFA","10","Overall","BiS",0.315797499870708,0.155148238587465
"111","GFA","15","Overall","CSR",0.875,0
"112","GFA","15","Overall","Rel",0.330414167880963,0.0805652539910684
"113","GFA","15","Overall","Rec",0.218283472153789,0.0469843160811913
"114","GFA","15","Overall","F_score",0.261677628143868,0.0568605933823334
"115","GFA","15","Overall","BiS",0.346086604655746,0.170541845648716
"116","GFA","20","Overall","CSR",0.89125,0.0413052507240149
"117","GFA","20","Overall","Rel",0.3220243698043,0.0883423090612704
"118","GFA","20","Overall","Rec",0.228977798623516,0.0590968428271092
"119","GFA","20","Overall","F_score",0.266257643847588,0.0679068924843603
"120","GFA","20","Overall","BiS",0.393016250655144,0.209429717735322
"121","GFA","25","Overall","CSR",0.924564393939394,0.0640813813614817
"122","GFA","25","Overall","Rel",0.266522568459515,0.0855638048618839
"123","GFA","25","Overall","Rec",0.225225290614774,0.0552666287089779
"124","GFA","25","Overall","F_score",0.240872082316061,0.0622199031034019
"125","GFA","25","Overall","BiS",0.299924106246608,0.186654279040226
"126","GFA","30","Overall","CSR",0.891587412587413,0.0836181287665841
"127","GFA","30","Overall","Rel",0.224379658193079,0.0778178856391353
"128","GFA","30","Overall","Rec",0.217388442629032,0.0531155027802324
"129","GFA","30","Overall","F_score",0.216947129495549,0.0569721804766407
"130","GFA","30","Overall","BiS",0.193775395615094,0.20946307780678
"131","GFA","35","Overall","CSR",0.782211038961039,0.0991596144459221
"132","GFA","35","Overall","Rel",0.184526736444525,0.0604475104120512
"133","GFA","35","Overall","Rec",0.237816154909044,0.0600392514050668
"134","GFA","35","Overall","F_score",0.205301967236119,0.0558495833183299
"135","GFA","35","Overall","BiS",0.0965711880511534,0.139046424866498
"136","GFA","40","Overall","CSR",0.703894741288124,0.0981734044719517
"137","GFA","40","Overall","Rel",0.162478860577626,0.0475757659363108
"138","GFA","40","Overall","Rec",0.239977449019043,0.0512642876695833
"139","GFA","40","Overall","F_score",0.191538837906357,0.0442855532465116
"140","GFA","40","Overall","BiS",0.0357706826836341,0.106506765564327
"141","GFA","45","Overall","CSR",0.64509692513369,0.0782215708739999
"142","GFA","45","Overall","Rel",0.149465212549579,0.0385246449571029
"143","GFA","45","Overall","Rec",0.242216175672125,0.0551416819583151
"144","GFA","45","Overall","F_score",0.1836669317165,0.0423123802166895
"145","GFA","45","Overall","BiS",0.0121286096737484,0.0964597713876783
"146","GFA","50","Overall","CSR",0.57044720043888,0.0564914719066569
"147","GFA","50","Overall","Rel",0.132250434216561,0.0290139142607025
"148","GFA","50","Overall","Rec",0.237508117680685,0.050856982084242
"149","GFA","50","Overall","F_score",0.169091341014081,0.0349991274380308
"150","GFA","50","Overall","BiS",-0.0377341723932598,0.0841801035639188
"151","GFA","55","Overall","CSR",0.533348448184942,0.0609783625456576
"152","GFA","55","Overall","Rel",0.127991712300478,0.027643430240438
"153","GFA","55","Overall","Rec",0.241100336078995,0.0511420140177536
"154","GFA","55","Overall","F_score",0.166395927049214,0.0334091685799284
"155","GFA","55","Overall","BiS",-0.0579551652367402,0.078530386169265
"156","GFA","60","Overall","CSR",0.507639226098978,0.0530870380087055
"157","GFA","60","Overall","Rel",0.124210129631697,0.0266004251265881
"158","GFA","60","Overall","Rec",0.240247763101597,0.0529478234845703
"159","GFA","60","Overall","F_score",0.162695481873841,0.0324072181062621
"160","GFA","60","Overall","BiS",-0.0693942549583777,0.0801722402582196
"161","GFA","65","Overall","CSR",0.473458066958841,0.0385916123402523
"162","GFA","65","Overall","Rel",0.12125229188915,0.0219324217055212
"163","GFA","65","Overall","Rec",0.252589741392385,0.0572782429602147
"164","GFA","65","Overall","F_score",0.163214393277084,0.0307695758818957
"165","GFA","65","Overall","BiS",-0.0823731870793655,0.0692165426603458
"166","GFA","70","Overall","CSR",0.451456045877889,0.0359236960754659
"167","GFA","70","Overall","Rel",0.117681260719707,0.0176454527581313
"168","GFA","70","Overall","Rec",0.24371901804498,0.0520335050525193
"169","GFA","70","Overall","F_score",0.157956308645032,0.0256744261310835
"170","GFA","70","Overall","BiS",-0.0897540258855511,0.0736848709991961
"171","GFA","75","Overall","CSR",0.425349979634042,0.0376649257165425
"172","GFA","75","Overall","Rel",0.113871714262724,0.0170169059158401
"173","GFA","75","Overall","Rec",0.240768060047834,0.0536966375418284
"174","GFA","75","Overall","F_score",0.153621526956194,0.0245557080691001
"175","GFA","75","Overall","BiS",-0.106835382001306,0.076064546286594
"176","GFA","80","Overall","CSR",0.405584327647943,0.0337703220973699
"177","GFA","80","Overall","Rel",0.111728843297778,0.0163427280113445
"178","GFA","80","Overall","Rec",0.237768227312409,0.0469173800719551
"179","GFA","80","Overall","F_score",0.151208820379106,0.0224423004056077
"180","GFA","80","Overall","BiS",-0.106470580519831,0.0798045313466162
"181","GFA","85","Overall","CSR",0.389628833085298,0.0275724707217
"182","GFA","85","Overall","Rel",0.1085402206455,0.0166418903313594
"183","GFA","85","Overall","Rec",0.245141780803526,0.055034772852893
"184","GFA","85","Overall","F_score",0.149850564973494,0.0252634212726971
"185","GFA","85","Overall","BiS",-0.113060896006876,0.0748860670958525
"186","GFA","90","Overall","CSR",0.371967619457837,0.0261378749560765
"187","GFA","90","Overall","Rel",0.107265909508097,0.0149576916118803
"188","GFA","90","Overall","Rec",0.235931641115274,0.0470739678646407
"189","GFA","90","Overall","F_score",0.14681688725774,0.0220779392505319
"190","GFA","90","Overall","BiS",-0.129290910186363,0.0817165138084622
"191","GFA","95","Overall","CSR",0.363039298619264,0.0293788650857929
"192","GFA","95","Overall","Rel",0.106620688202928,0.0138258118217157
"193","GFA","95","Overall","Rec",0.239002032056155,0.0488675650613475
"194","GFA","95","Overall","F_score",0.146730044233086,0.021173742841842
"195","GFA","95","Overall","BiS",-0.118937552789139,0.0809863914774638
"196","GFA","100","Overall","CSR",0.345525790988122,0.0230450978590262
"197","GFA","100","Overall","Rel",0.108305090216806,0.0138776083052335
"198","GFA","100","Overall","Rec",0.250445628773846,0.0529465041677048
"199","GFA","100","Overall","F_score",0.150499821298609,0.0219420752119056
"200","GFA","100","Overall","BiS",-0.138835131968919,0.0756150176962637
"201","iSSVD","5","Overall","CSR",0.875,0
"202","iSSVD","5","Overall","Rel",0.750749284444957,0.0110928271145348
"203","iSSVD","5","Overall","Rec",0.617434375712777,0.00828746480963344
"204","iSSVD","5","Overall","F_score",0.67759560436063,0.00950592988288699
"205","iSSVD","5","Overall","BiS",0.393342273772836,0.00703883705689077
"206","iSSVD","10","Overall","CSR",0.99,0.0301511344577764
"207","iSSVD","10","Overall","Rel",0.553319413413069,0.0446826969559837
"208","iSSVD","10","Overall","Rec",0.553250410591492,0.0267596908282552
"209","iSSVD","10","Overall","F_score",0.5528269450081,0.0343870909590909
"210","iSSVD","10","Overall","BiS",0.312105439455883,0.049008066441427
"211","iSSVD","15","Overall","CSR",0.961,0.0625953817640073
"212","iSSVD","15","Overall","Rel",0.485076839203735,0.0598838319747022
"213","iSSVD","15","Overall","Rec",0.511580956949069,0.0226643552790565
"214","iSSVD","15","Overall","F_score",0.496241030413664,0.0391952280178516
"215","iSSVD","15","Overall","BiS",0.26702777296899,0.0693395803587321
"216","iSSVD","20","Overall","CSR",0.932748751248751,0.102929399217346
"217","iSSVD","20","Overall","Rel",0.451526442345774,0.0832130290257821
"218","iSSVD","20","Overall","Rec",0.498998800681307,0.0206343734313675
"219","iSSVD","20","Overall","F_score",0.469884147387096,0.0564314770119324
"220","iSSVD","20","Overall","BiS",0.247432615338027,0.0907993361134334
"221","iSSVD","25","Overall","CSR",0.947468531468531,0.0894931062930965
"222","iSSVD","25","Overall","Rel",0.461525496663572,0.0722586131984111
"223","iSSVD","25","Overall","Rec",0.495319320914207,0.0183190744302424
"224","iSSVD","25","Overall","F_score",0.474843842200937,0.0477076558964612
"225","iSSVD","25","Overall","BiS",0.256404695965762,0.0871416668811531
"226","iSSVD","30","Overall","CSR",0.941155844155844,0.0771014652001976
"227","iSSVD","30","Overall","Rel",0.455082845528943,0.0625722256391275
"228","iSSVD","30","Overall","Rec",0.4964120743031,0.0168471258994429
"229","iSSVD","30","Overall","F_score",0.472443396084328,0.0397667609883323
"230","iSSVD","30","Overall","BiS",0.255453062049251,0.0799629483159733
"231","iSSVD","35","Overall","CSR",0.927391608391608,0.0876934981954215
"232","iSSVD","35","Overall","Rel",0.449809486106084,0.0673106447908225
"233","iSSVD","35","Overall","Rec",0.500245095333464,0.0169153082684557
"234","iSSVD","35","Overall","F_score",0.471131244544483,0.0428319257432697
"235","iSSVD","35","Overall","BiS",0.249656629987586,0.095514305532104
"236","iSSVD","40","Overall","CSR",0.999,0.01
"237","iSSVD","40","Overall","Rel",0.509902988232561,0.0213092994153784
"238","iSSVD","40","Overall","Rec",0.501185493904338,0.0178341213845915
