"","Method","overlap","Choice","Measure","Mean","S.d."
"76","GFA","0.3","Overall","CSR",0.658005735400127,0.0926935088785012
"77","GFA","0.3","Overall","Rel",0.173015052009347,0.0788303475995097
"78","GFA","0.3","Overall","Rec",0.335911105760782,0.142368609564383
"79","GFA","0.3","Overall","F_score",0.226411591459508,0.0977071916749582
"80","GFA","0.3","Overall","BiS",0.0350030824050402,0.0413346989038643
"81","GFA","0.35","Overall","CSR",0.31199222582264,0.0230095472870382
"82","GFA","0.35","Overall","Rel",0.0863235339808125,0.0278966844374123
"83","GFA","0.35","Overall","Rec",0.374887447237001,0.154221593285929
"84","GFA","0.35","Overall","F_score",0.13996515794996,0.0476136139904088
"85","GFA","0.35","Overall","BiS",-0.0213125570094234,0.0169736370512105
"86","GFA","0.4","Overall","CSR",0.236135280161924,0.0101186194388113
"87","GFA","0.4","Overall","Rel",0.068751048397568,0.021306664737149
"88","GFA","0.4","Overall","Rec",0.369405614968337,0.167837477042604
"89","GFA","0.4","Overall","F_score",0.115374945600249,0.0388658560757833
"90","GFA","0.4","Overall","BiS",-0.0246907725448394,0.0143662378342496
"91","iSSVD","0","Overall","CSR",0.166666666666667,0
"92","iSSVD","0","Overall","Rel",0,0
"93","iSSVD","0","Overall","Rec",0,0
"94","iSSVD","0","Overall","F_score",0,0
"95","iSSVD","0","Overall","BiS",0,0
"96","iSSVD","0.05","Overall","CSR",0.619876678876679,0.207221700782714
"97","iSSVD","0.05","Overall","Rel",0.227664349222617,0.0709465132257198
"98","iSSVD","0.05","Overall","Rec",0.162691238801595,0.0837734578294634
"99","iSSVD","0.05","Overall","F_score",0.177428391755516,0.0667420939455276
"100","iSSVD","0.05","Overall","BiS",0.0217707768822359,0.0918548607444577
"101","iSSVD","0.1","Overall","CSR",0.710081349206349,0.182696963141976
"102","iSSVD","0.1","Overall","Rel",0.185428542367868,0.0832703553015447
"103","iSSVD","0.1","Overall","Rec",0.18274562429521,0.062854816067906
"104","iSSVD","0.1","Overall","F_score",0.179475863327267,0.0703259870122269
"105","iSSVD","0.1","Overall","BiS",0.00963446615377914,0.114084739968649
"106","iSSVD","0.15","Overall","CSR",0.596229395604396,0.211221892338091
"107","iSSVD","0.15","Overall","Rel",0.14896770307557,0.078038379234426
"108","iSSVD","0.15","Overall","Rec",0.138983892311198,0.0619199266052326
"109","iSSVD","0.15","Overall","F_score",0.139051851154526,0.0662413144086962
"110","iSSVD","0.15","Overall","BiS",-0.0137469771372935,0.0838382758870992
"111","iSSVD","0.2","Overall","CSR",0.476095238095238,0.230062448554907
"112","iSSVD","0.2","Overall","Rel",0.130793298858852,0.0947291311289726
"113","iSSVD","0.2","Overall","Rec",0.101978392850238,0.0725073276126336
"114","iSSVD","0.2","Overall","F_score",0.112152434477123,0.0787525522350655
"115","iSSVD","0.2","Overall","BiS",0.00544898140876327,0.0633877870796921
"116","iSSVD","0.25","Overall","CSR",0.307261904761905,0.203066713459046
"117","iSSVD","0.25","Overall","Rel",0.0781669263775927,0.106656358655559
