"","Method","Views","Choice","Measure","Mean","S.d."
"1","ResNMTF","2","Overall","CSR",1,0
"2","ResNMTF","2","Overall","Rel",0.970333206472978,0.0162735362430133
"3","ResNMTF","2","Overall","Rec",0.970333206472978,0.0162735362430133
"4","ResNMTF","2","Overall","F_score",0.970333206472978,0.0162735362430133
"5","ResNMTF","2","Overall","BiS",0.53014809100959,0.0246486415021069
"6","ResNMTF","3","Overall","CSR",0.999583333333333,0.00416666666666666
"7","ResNMTF","3","Overall","Rel",0.936468660044849,0.0186132358675166
"8","ResNMTF","3","Overall","Rec",0.935635326711516,0.0193420468389373
"9","ResNMTF","3","Overall","F_score",0.935992469568659,0.0185809777268904
"10","ResNMTF","3","Overall","BiS",0.464469770451767,0.0317227054449898
"11","ResNMTF","4","Overall","CSR",0.893375,0.0426477304688235
"12","ResNMTF","4","Overall","Rel",0.794174461127022,0.0759502428401534
"13","ResNMTF","4","Overall","Rec",0.679389523025815,0.124534207909121
"14","ResNMTF","4","Overall","F_score",0.73108754538279,0.102347900201262
"15","ResNMTF","4","Overall","BiS",0.418694701008315,0.0532826641092553
"16","ResNMTF","5","Overall","CSR",0.875,0
"17","ResNMTF","5","Overall","Rel",0.761473236714976,5.80041148130599e-05
"18","ResNMTF","5","Overall","Rec",0.62554463768116,7.68101364125754e-05
"19","ResNMTF","5","Overall","F_score",0.686848392459813,6.99105853080312e-05
"20","ResNMTF","5","Overall","BiS",0.396680759218342,0.0012698008829937
"21","GFA","2","Overall","CSR",0.875,0
"22","GFA","2","Overall","Rel",0.295865056910568,0.0790197457474696
"23","GFA","2","Overall","Rec",0.206478728025376,0.052762549471275
"24","GFA","2","Overall","F_score",0.242379880729571,0.0613645385667609
"25","GFA","2","Overall","BiS",0.209486009071561,0.0910841692264756
"26","GFA","3","Overall","CSR",0.87625,0.0125
"27","GFA","3","Overall","Rel",0.300583535994948,0.0655447364425385
"28","GFA","3","Overall","Rec",0.204376450185818,0.0403309649600715
"29","GFA","3","Overall","F_score",0.24199516488185,0.0466946449581417
"30","GFA","3","Overall","BiS",0.185155465672148,0.0897836317770174
"31","GFA","4","Overall","CSR",0.87875,0.0214308259997207
"32","GFA","4","Overall","Rel",0.329893813803305,0.084943101039346
"33","GFA","4","Overall","Rec",0.228608921564468,0.0669991762532137
"34","GFA","4","Overall","F_score",0.268606708638544,0.0713345133949588
"35","GFA","4","Overall","BiS",0.211042181660687,0.100054536832813
"36","GFA","5","Overall","CSR",0.88125,0.0258992316878359
"37","GFA","5","Overall","Rel",0.305779906932705,0.0937794077287702
"38","GFA","5","Overall","Rec",0.213145818341593,0.0615448752389663
"39","GFA","5","Overall","F_score",0.250214250047467,0.0725843538718016
"40","GFA","5","Overall","BiS",0.20648875238864,0.101553906741075
"41","iSSVD","2","Overall","CSR",0.875,0
"42","iSSVD","2","Overall","Rel",0.74717008365276,0.0190672997573776
"43","iSSVD","2","Overall","Rec",0.61478756444649,0.0142839746491873
"44","iSSVD","2","Overall","F_score",0.674543750260718,0.0163705128495666
"45","iSSVD","2","Overall","BiS",0.389889853116356,0.0200231616535773
"46","iSSVD","3","Overall","CSR",0.875,0
"47","iSSVD","3","Overall","Rel",0.750554352429784,0.0126146239575137
"48","iSSVD","3","Overall","Rec",0.617347070891276,0.00946048975286552
"49","iSSVD","3","Overall","F_score",0.677463988223708,0.0108363668432275
"50","iSSVD","3","Overall","BiS",0.394539065466239,0.00340357670911026
"51","iSSVD","4","Overall","CSR",0.875,0
"52","iSSVD","4","Overall","Rel",0.750811688237416,0.00851554951299241
"53","iSSVD","4","Overall","Rec",0.617553210622506,0.00638666213474429
"54","iSSVD","4","Overall","F_score",0.677693082010923,0.00731530043651667
"55","iSSVD","4","Overall","BiS",0.394986916193626,0.00224516907345418
"56","iSSVD","5","Overall","CSR",0.875,0
"57","iSSVD","5","Overall","Rel",0.751002935580913,0.00824953614428179
"58","iSSVD","5","Overall","Rec",0.617681910205864,0.00617459209154759
"59","iSSVD","5","Overall","F_score",0.677848398070256,0.00707874881926716
"60","iSSVD","5","Overall","BiS",0.394628994605307,0.00209751066800347
"61","NMTF","2","Overall","CSR",0.998125,0.0107154129998603
"62","NMTF","2","Overall","Rel",0.956151183749822,0.0152022011728465
"63","NMTF","2","Overall","Rec",0.95247831217695,0.0239781364979627
"64","NMTF","2","Overall","F_score",0.954052399993895,0.0178797283579261
"65","NMTF","2","Overall","BiS",0.506046250903234,0.0230082947770692
"66","NMTF","3","Overall","CSR",0.995833333333333,0.0125629726907401
"67","NMTF","3","Overall","Rel",0.950645403307766,0.0199694186442795
"68","NMTF","3","Overall","Rec",0.945023486812942,0.0324442660573766
"69","NMTF","3","Overall","F_score",0.947503710013053,0.0261510769437273
"70","NMTF","3","Overall","BiS",0.502901442476123,0.0212966965091849
"71","NMTF","4","Overall","CSR",0.997875,0.007806247497998
"72","NMTF","4","Overall","Rel",0.95261432385009,0.0146313204409942
"73","NMTF","4","Overall","Rec",0.949918043758142,0.0200232400454099
"74","NMTF","4","Overall","F_score",0.95108189314927,0.0168126622038214
"75","NMTF","4","Overall","BiS",0.503466945090575,0.0175989401307788
"76","NMTF","5","Overall","CSR",0.9985,0.00596708141439856
"77","NMTF","5","Overall","Rel",0.95395828988753,0.0118917643284986
"78","NMTF","5","Overall","Rec",0.951462740888433,0.0151619652202284
"79","NMTF","5","Overall","F_score",0.952544395106939,0.0128551190050528
"80","NMTF","5","Overall","BiS",0.5052072644424,0.0160017793507987
