"","Method","Views","Choice","Measure","Mean","S.d."
"1","ResNMTF","50","Overall","CSR",0.929277777777778,0.0852751866812622
"2","ResNMTF","50","Overall","Rel",0.791338063008755,0.0600477490899401
"3","ResNMTF","50","Overall","Rec",0.715912484988069,0.141748190222099
"4","ResNMTF","50","Overall","F_score",0.747276900142794,0.105191792689242
"5","ResNMTF","50","Overall","BiS",0.451744448219395,0.0643587545723173
"6","ResNMTF","200","Overall","CSR",0.933,0.0606891359170354
"7","ResNMTF","200","Overall","Rel",0.830187492092224,0.0565786263930378
"8","ResNMTF","200","Overall","Rec",0.753735064386752,0.118973540990153
"9","ResNMTF","200","Overall","F_score",0.787885936590692,0.0911401371590447
"10","ResNMTF","200","Overall","BiS",0.431117936086519,0.0383870897832813
"11","ResNMTF","300","Overall","CSR",0.953125,0.0554400893936109
"12","ResNMTF","300","Overall","Rel",0.856672545951604,0.0568979452181201
"13","ResNMTF","300","Overall","Rec",0.803528251959606,0.114027179245469
"14","ResNMTF","300","Overall","F_score",0.827224628001936,0.0875767158229891
"15","ResNMTF","300","Overall","BiS",0.433024175581517,0.0288714819739884
"16","ResNMTF","500","Overall","CSR",0.980972222222222,0.0418069561197357
"17","ResNMTF","500","Overall","Rel",0.896899876889358,0.0453010969128107
"18","ResNMTF","500","Overall","Rec",0.872354623584352,0.0844508120750411
"19","ResNMTF","500","Overall","F_score",0.881477601391793,0.0662291594569712
"20","ResNMTF","500","Overall","BiS",0.431364668670814,0.0245756157300287
"21","ResNMTF","1000","Overall","CSR",0.948590277777778,0.0707576766767305
"22","ResNMTF","1000","Overall","Rel",0.844083367375986,0.0663597920576073
"23","ResNMTF","1000","Overall","Rec",0.78695676738042,0.140547811830903
"24","ResNMTF","1000","Overall","F_score",0.811483501420794,0.109002923209353
"25","ResNMTF","1000","Overall","BiS",0.39604504545541,0.0210327409388585
"26","GFA","50","Overall","CSR",0.919,0.0394277244403662
"27","GFA","50","Overall","Rel",0.255134911220555,0.091968655020948
"28","GFA","50","Overall","Rec",0.210770518530428,0.0937918684950221
"29","GFA","50","Overall","F_score",0.230088038979481,0.0922487504739163
"30","GFA","50","Overall","BiS",0.144016611803799,0.0864570096736324
"31","GFA","200","Overall","CSR",0.908,0.0272659924344291
"32","GFA","200","Overall","Rel",0.269103449459688,0.0620868112869015
"33","GFA","200","Overall","Rec",0.209116849992709,0.0513344584440117
"34","GFA","200","Overall","F_score",0.23476728810236,0.0546292876731156
"35","GFA","200","Overall","BiS",0.17179871369421,0.0671257251921835
"36","GFA","300","Overall","CSR",0.906,0.0238683256575942
"37","GFA","300","Overall","Rel",0.280446582053695,0.0535645094720301
"38","GFA","300","Overall","Rec",0.214090712027967,0.0417427709584929
"39","GFA","300","Overall","F_score",0.242226490256837,0.0456377158914318
"40","GFA","300","Overall","BiS",0.173647131697656,0.068145684941494
