"","Method","Noise","Choice","Measure","Mean","S.d."
"1","ResNMTF","1","Overall","CSR",0.9990625,0.009375
"2","ResNMTF","1","Overall","Rel",0.997712126854739,0.00374247131786794
"3","ResNMTF","1","Overall","Rec",0.996212126854739,0.015233947047303
"4","ResNMTF","1","Overall","F_score",0.99664069828331,0.0111287871557231
"5","ResNMTF","1","Overall","BiS",0.681787838412679,0.00441978828747816
"6","ResNMTF","2","Overall","CSR",0.977569444444444,0.0448908622199355
"7","ResNMTF","2","Overall","Rel",0.90123267830073,0.0554476659470152
"8","ResNMTF","2","Overall","Rec",0.876455923926549,0.102458800305069
"9","ResNMTF","2","Overall","F_score",0.887756115919731,0.0806972345501593
"10","ResNMTF","2","Overall","BiS",0.547039657793724,0.0407099099205123
"11","ResNMTF","3","Overall","CSR",0.921847222222222,0.0478183534115865
"12","ResNMTF","3","Overall","Rel",0.838883863574562,0.0633766104355353
"13","ResNMTF","3","Overall","Rec",0.752001788626877,0.114020912265931
"14","ResNMTF","3","Overall","F_score",0.791550982684109,0.0903454438390387
"15","ResNMTF","3","Overall","BiS",0.49557646572954,0.0410038293888543
"16","ResNMTF","4","Overall","CSR",0.917201388888889,0.0575192085515563
"17","ResNMTF","4","Overall","Rel",0.825306323925951,0.0565869413299815
"18","ResNMTF","4","Overall","Rec",0.731933188830941,0.114870068826423
"19","ResNMTF","4","Overall","F_score",0.773694915021866,0.0887792507458104
"20","ResNMTF","4","Overall","BiS",0.454877924992238,0.0347710365748617
"21","ResNMTF","5","Overall","CSR",0.91575,0.0690285582700377
"22","ResNMTF","5","Overall","Rel",0.820662228715849,0.0612756444398024
"23","ResNMTF","5","Overall","Rec",0.72560526897857,0.131185063829935
"24","ResNMTF","5","Overall","F_score",0.767340269975079,0.100923096025572
"25","ResNMTF","5","Overall","BiS",0.429406553417402,0.0380975938507893
"26","ResNMTF","6","Overall","CSR",0.908444444444444,0.0657056623822172
"27","ResNMTF","6","Overall","Rel",0.800678019615988,0.0531275125724098
"28","ResNMTF","6","Overall","Rec",0.698668494990433,0.119844474257086
"29","ResNMTF","6","Overall","F_score",0.743597920007383,0.091536058087719
"30","ResNMTF","6","Overall","BiS",0.395462260443606,0.0325298622775745
"31","ResNMTF","7","Overall","CSR",0.891988095238095,0.0740005281279424
"32","ResNMTF","7","Overall","Rel",0.783073158189296,0.0505657218454932
"33","ResNMTF","7","Overall","Rec",0.662012085622953,0.122699388277607
"34","ResNMTF","7","Overall","F_score",0.713445787795967,0.092920674850369
"35","ResNMTF","7","Overall","BiS",0.36456054316354,0.0292050869455387
"36","ResNMTF","8","Overall","CSR",0.885604166666667,0.075417883229683
"37","ResNMTF","8","Overall","Rel",0.783085401785375,0.057253503848724
"38","ResNMTF","8","Overall","Rec",0.654593415337977,0.131053070520741
"39","ResNMTF","8","Overall","F_score",0.708821632396715,0.10053717284956
"40","ResNMTF","8","Overall","BiS",0.353847156132778,0.0339186987404082
"41","ResNMTF","9","Overall","CSR",0.865756944444445,0.0775202350171953
"42","ResNMTF","9","Overall","Rel",0.763370915889752,0.0519888222866116
"43","ResNMTF","9","Overall","Rec",0.61505168655381,0.131529714202089
"44","ResNMTF","9","Overall","F_score",0.676747294673852,0.100016194779084
"45","ResNMTF","9","Overall","BiS",0.330231733864133,0.0267629359132714
"46","ResNMTF","10","Overall","CSR",0.851395833333333,0.073968154425032
"47","ResNMTF","10","Overall","Rel",0.745986887377412,0.0435101697506132
"48","ResNMTF","10","Overall","Rec",0.584014029180283,0.117754511174251
"49","ResNMTF","10","Overall","F_score",0.650964086739335,0.0880123773488812
"50","ResNMTF","10","Overall","BiS",0.309668181517964,0.0201682550477845
"51","ResNMTF","20","Overall","CSR",0.787666666666667,0.0383039217671765
"52","ResNMTF","20","Overall","Rel",0.694511713384387,0.01979265957242
"53","ResNMTF","20","Overall","Rec",0.467343122436759,0.0472534543632165
"54","ResNMTF","20","Overall","F_score",0.557667737440286,0.033569562488619
"55","ResNMTF","20","Overall","BiS",0.213432205657484,0.0113211190210407
"56","ResNMTF","30","Overall","CSR",0.790251984126984,0.0482338195563692
"57","ResNMTF","30","Overall","Rel",0.668419122528151,0.0351469995058752
"58","ResNMTF","30","Overall","Rec",0.452777535042158,0.041223607414333
"59","ResNMTF","30","Overall","F_score",0.53807033677665,0.0304046409690698
"60","ResNMTF","30","Overall","BiS",0.161251369681249,0.0181777069368006
"61","ResNMTF","40","Overall","CSR",0.79115376984127,0.0542587692110563
"62","ResNMTF","40","Overall","Rel",0.643793816029107,0.0649256783939127
"63","ResNMTF","40","Overall","Rec",0.438940479740146,0.048151138361156
"64","ResNMTF","40","Overall","F_score",0.520653425596694,0.0500690018919016
"65","ResNMTF","40","Overall","BiS",0.125914667613123,0.0225937914538365
"66","ResNMTF","50","Overall","CSR",0.791451388888889,0.0362758070594172
"67","ResNMTF","50","Overall","Rel",0.62495589338756,0.0401102937172505
"68","ResNMTF","50","Overall","Rec",0.423526458245507,0.0293364946245809
"69","ResNMTF","50","Overall","F_score",0.503862560735815,0.0266175296025084
"70","ResNMTF","50","Overall","BiS",0.102115369251722,0.0158664204751297
"71","ResNMTF","60","Overall","CSR",0.789527777777778,0.0354238428283588
"72","ResNMTF","60","Overall","Rel",0.60617179411889,0.0430212091737937
"73","ResNMTF","60","Overall","Rec",0.408032899680909,0.0274612526131035
"74","ResNMTF","60","Overall","F_score",0.486668584301984,0.028526677598567
"75","ResNMTF","60","Overall","BiS",0.0835584949208076,0.0157679589506298
"76","ResNMTF","70","Overall","CSR",0.777974206349207,0.0613420342535094
"77","ResNMTF","70","Overall","Rel",0.583858451805596,0.0712590648155612
"78","ResNMTF","70","Overall","Rec",0.388829869990011,0.0466061216974258
"79","ResNMTF","70","Overall","F_score",0.466347037012408,0.0549679353660083
"80","ResNMTF","70","Overall","BiS",0.0691229544278496,0.0161555019540514
"81","ResNMTF","80","Overall","CSR",0.794305555555556,0.0444409370108719
"82","ResNMTF","80","Overall","Rel",0.557593600615308,0.0531928679427697
"83","ResNMTF","80","Overall","Rec",0.37962844208707,0.029227730114431
"84","ResNMTF","80","Overall","F_score",0.450545674295138,0.0335060635162367
"85","ResNMTF","80","Overall","BiS",0.054905264710345,0.0144046983521143
"86","ResNMTF","90","Overall","CSR",0.788955357142857,0.0490672225295245
"87","ResNMTF","90","Overall","Rel",0.538263723644082,0.0524550900857576
"88","ResNMTF","90","Overall","Rec",0.364471709040052,0.0311189329696555
"89","ResNMTF","90","Overall","F_score",0.433550151710941,0.0355563132572958
"90","ResNMTF","90","Overall","BiS",0.0444467629602999,0.0131502255914312
"91","ResNMTF","100","Overall","CSR",0.789736111111111,0.0422855022469208
"92","ResNMTF","100","Overall","Rel",0.526712693673912,0.0506055909420013
"93","ResNMTF","100","Overall","Rec",0.356191663057176,0.0262383925208723
"94","ResNMTF","100","Overall","F_score",0.423818101463297,0.0313324084732767
"95","ResNMTF","100","Overall","BiS",0.0368604063362685,0.0117268759213652
"96","GFA","1","Overall","CSR",0.909,0.0287623491264661
"97","GFA","1","Overall","Rel",0.278324394190148,0.0821998816262258
"98","GFA","1","Overall","Rec",0.212303415699066,0.0674305327165022
"99","GFA","1","Overall","F_score",0.240180533398282,0.0725037876354851
"100","GFA","1","Overall","BiS",0.22314203950863,0.123358622640275
"101","GFA","2","Overall","CSR",0.916,0.0368452949177471
"102","GFA","2","Overall","Rel",0.277205640835647,0.0672395146150076
"103","GFA","2","Overall","Rec",0.218811266849665,0.0594134858097932
"104","GFA","2","Overall","F_score",0.243694364971275,0.0608456798058132
"105","GFA","2","Overall","BiS",0.206832389037236,0.0941952842866641
"106","GFA","3","Overall","CSR",0.911,0.031446603773522
"107","GFA","3","Overall","Rel",0.284324460986936,0.0637907108507746
"108","GFA","3","Overall","Rec",0.221562687858331,0.0530764421050624
"109","GFA","3","Overall","F_score",0.24830079449693,0.0558848011835819
"110","GFA","3","Overall","BiS",0.213248197008117,0.0844146862569288
"111","GFA","4","Overall","CSR",0.903,0.0171446607997765
"112","GFA","4","Overall","Rel",0.269471162189217,0.0601421729729151
"113","GFA","4","Overall","Rec",0.203648434994127,0.043961425537956
"114","GFA","4","Overall","F_score",0.23159432615961,0.0500797589614383
"115","GFA","4","Overall","BiS",0.181962863386664,0.0833239598675042
"116","GFA","5","Overall","CSR",0.91,0.0301511344577764
"117","GFA","5","Overall","Rel",0.272321480669537,0.0657010472066763
"118","GFA","5","Overall","Rec",0.212739805030357,0.053699865293925
"119","GFA","5","Overall","F_score",0.238370359227075,0.0576766432177407
"120","GFA","5","Overall","BiS",0.171867921967502,0.0647262995985206
"121","GFA","6","Overall","CSR",0.905,0.021904291355759
"122","GFA","6","Overall","Rel",0.263803267555518,0.0520281281632086
"123","GFA","6","Overall","Rec",0.201061864927256,0.0400871202857247
"124","GFA","6","Overall","F_score",0.227687064763347,0.0440207661035114
"125","GFA","6","Overall","BiS",0.148130616378589,0.0548698750273273
"126","GFA","7","Overall","CSR",0.911166666666667,0.0314318781329236
"127","GFA","7","Overall","Rel",0.271172720344274,0.079880722298761
"128","GFA","7","Overall","Rec",0.213108691082329,0.0735986700675775
"129","GFA","7","Overall","F_score",0.23800272857262,0.0749350640284251
"130","GFA","7","Overall","BiS",0.154617570142091,0.0632835155013414
"131","GFA","8","Overall","CSR",0.933333333333333,0.0461783008107574
"132","GFA","8","Overall","Rel",0.238554626586414,0.05741372057297
"133","GFA","8","Overall","Rec",0.198333380410842,0.0481497009745788
"134","GFA","8","Overall","F_score",0.215256341859626,0.049437328971717
"135","GFA","8","Overall","BiS",0.120648842200336,0.0589893866546904
"136","GFA","9","Overall","CSR",0.892498626373626,0.0794229506418993
"137","GFA","9","Overall","Rel",0.192967077092365,0.0739260877107374
"138","GFA","9","Overall","Rec",0.214077353434079,0.0702563164011238
"139","GFA","9","Overall","F_score",0.201135350279193,0.0698497692682005
"140","GFA","9","Overall","BiS",0.0732006993218376,0.0598357341970209
"141","GFA","10","Overall","CSR",0.676455292111784,0.0639414205398015
"142","GFA","10","Overall","Rel",0.125783217951285,0.0338120966816329
"143","GFA","10","Overall","Rec",0.201266009948591,0.0654791952970395
"144","GFA","10","Overall","F_score",0.154135850570139,0.0434301653224973
"145","GFA","10","Overall","BiS",0.0151237646079255,0.0238038472058486
"146","GFA","20","Overall","CSR",0.354897849462365,0.000291184172209194
"147","GFA","20","Overall","Rel",0.0975533911914859,0.0156554017775721
"148","GFA","20","Overall","Rec",0.190765618727143,0.0789665870416989
"149","GFA","20","Overall","F_score",0.128058433395983,0.0288519975059215
"150","GFA","20","Overall","BiS",-0.00531355944723543,0.00410020440935456
"151","GFA","30","Overall","CSR",0.268292682926829,0
"152","GFA","30","Overall","Rel",0.0885347867183036,0.00587415013738286
