"","Method","overlap","Choice","Measure","Mean","S.d."
"75","GFA","0.25","Overall","BiS",0.0753085491760161,0.0402769318069682
"76","GFA","0.3","Overall","CSR",0.801126373626374,0.0263011889328221
"77","GFA","0.3","Overall","Rel",0.235469577583033,0.0764995430626084
"78","GFA","0.3","Overall","Rec",0.30170900704123,0.107799064168569
"79","GFA","0.3","Overall","F_score",0.263836895048019,0.0888250096299731
"80","GFA","0.3","Overall","BiS",0.06641149541248,0.0305929012945598
"81","GFA","0.35","Overall","CSR",0.79425641025641,0.0225274427469351
"82","GFA","0.35","Overall","Rel",0.229900587977099,0.069587357645352
"83","GFA","0.35","Overall","Rec",0.300162857760574,0.0963784516874025
"84","GFA","0.35","Overall","F_score",0.259683579980337,0.0795644034036026
"85","GFA","0.35","Overall","BiS",0.0637738648604403,0.0327173769590055
"86","GFA","0.4","Overall","CSR",0.788736263736264,0.0132388574128213
"87","GFA","0.4","Overall","Rel",0.209705800101593,0.051071954500073
"88","GFA","0.4","Overall","Rec",0.276615684286455,0.0731681453999593
"89","GFA","0.4","Overall","F_score",0.23797632860201,0.0592669786015611
"90","GFA","0.4","Overall","BiS",0.0655564487181764,0.0285490854584508
"91","iSSVD","0","Overall","CSR",0.166666666666667,0
"92","iSSVD","0","Overall","Rel",0,0
"93","iSSVD","0","Overall","Rec",0,0
"94","iSSVD","0","Overall","F_score",0,0
"95","iSSVD","0","Overall","BiS",0,0
"96","iSSVD","0.05","Overall","CSR",0.166666666666667,0
"97","iSSVD","0.05","Overall","Rel",0,0
"98","iSSVD","0.05","Overall","Rec",0,0
"99","iSSVD","0.05","Overall","F_score",0,0
"100","iSSVD","0.05","Overall","BiS",0,0
"101","iSSVD","0.1","Overall","CSR",0.519720238095238,0.146228229045636
"102","iSSVD","0.1","Overall","Rel",0.352268353635202,0.0773270888959066
"103","iSSVD","0.1","Overall","Rec",0.130884129482843,0.0477881643460518
"104","iSSVD","0.1","Overall","F_score",0.183074231919408,0.0439593867749082
"105","iSSVD","0.1","Overall","BiS",0.0536418858953725,0.0438593817582616
"106","iSSVD","0.15","Overall","CSR",0.428571428571429,0
"107","iSSVD","0.15","Overall","Rel",0.458225282918042,0.0607385116284543
"108","iSSVD","0.15","Overall","Rec",0.114725862114675,0.00793382469641571
"109","iSSVD","0.15","Overall","F_score",0.183314045290319,0.0149053536196634
"110","iSSVD","0.15","Overall","BiS",0.10185768442205,0.0462375301987988
"111","iSSVD","0.2","Overall","CSR",0.428571428571429,0
"112","iSSVD","0.2","Overall","Rel",0.536884796771256,0.0768571321148851
"113","iSSVD","0.2","Overall","Rec",0.126730073063164,0.0114394309026564
"114","iSSVD","0.2","Overall","F_score",0.204910703500738,0.0205848375743211
"115","iSSVD","0.2","Overall","BiS",0.165288913667032,0.0587233683921654
