"","Method","overlap","Choice","Measure","Mean","S.d."
"76","GFA","0.3","Overall","CSR",0.777134260503395,0.0821854940598639
"77","GFA","0.3","Overall","Rel",0.228297140788919,0.114548689444214
"78","GFA","0.3","Overall","Rec",0.346265369170167,0.161001723302894
"79","GFA","0.3","Overall","F_score",0.273246432069453,0.130514431026782
"80","GFA","0.3","Overall","BiS",0.0602287907917096,0.0460925221644545
"81","GFA","0.35","Overall","CSR",0.373874276239417,0.0362084338983298
"82","GFA","0.35","Overall","Rel",0.0984902139725711,0.032941388724117
"83","GFA","0.35","Overall","Rec",0.358679785874937,0.149778412380889
"84","GFA","0.35","Overall","F_score",0.153951071879292,0.0541475957333413
"85","GFA","0.35","Overall","BiS",-0.0133032412580335,0.0220675143586352
"86","GFA","0.4","Overall","CSR",0.267601835174671,0.0150127736571068
"87","GFA","0.4","Overall","Rel",0.0756874289497452,0.0250007708382549
"88","GFA","0.4","Overall","Rec",0.364281435402799,0.170324622320441
"89","GFA","0.4","Overall","F_score",0.124443992792327,0.0454325381639091
"90","GFA","0.4","Overall","BiS",-0.0227224929130655,0.0155832714729871
"91","iSSVD","0","Overall","CSR",0.503433208489389,0.129058241598168
"92","iSSVD","0","Overall","Rel",0.343244296828297,0.074360614091205
"93","iSSVD","0","Overall","Rec",0.121731726039472,0.0399491571703618
"94","iSSVD","0","Overall","F_score",0.173089606645979,0.035740609198011
"95","iSSVD","0","Overall","BiS",0.0468223272664353,0.0417151349922263
"96","iSSVD","0.05","Overall","CSR",0.51461342964152,0.115876124141694
"97","iSSVD","0.05","Overall","Rel",0.290813930199084,0.0636010024539503
"98","iSSVD","0.05","Overall","Rec",0.12058791664355,0.0317160038264242
"99","iSSVD","0.05","Overall","F_score",0.165248767813096,0.0292654872307327
"100","iSSVD","0.05","Overall","BiS",0.0659559859193464,0.0835789912194499
"101","iSSVD","0.1","Overall","CSR",0.665477562387675,0.140977795169541
"102","iSSVD","0.1","Overall","Rel",0.237902467155455,0.0647086875840559
"103","iSSVD","0.1","Overall","Rec",0.170836261373738,0.0382254606051291
"104","iSSVD","0.1","Overall","F_score",0.190523728782414,0.0339889401966383
"105","iSSVD","0.1","Overall","BiS",0.0720103927982552,0.131614210096201
"106","iSSVD","0.15","Overall","CSR",0.718313303425663,0.120120364066806
"107","iSSVD","0.15","Overall","Rel",0.215903751813549,0.0653819609014383
"108","iSSVD","0.15","Overall","Rec",0.190522473102914,0.0328502119566888
"109","iSSVD","0.15","Overall","F_score",0.195485444095382,0.0431667060879095
"110","iSSVD","0.15","Overall","BiS",0.0647292908472266,0.156039863497753
"111","iSSVD","0.2","Overall","CSR",0.679358048318722,0.100379462701465
