"","Method","overlap","Choice","Measure","Mean","S.d."
"75","GFA","0.25","Overall","BiS",0.0699845135951913,0.040745177952567
"76","GFA","0.3","Overall","CSR",0.812549450549451,0.0330146718611652
"77","GFA","0.3","Overall","Rel",0.253375729919832,0.0865882609663535
"78","GFA","0.3","Overall","Rec",0.339970815556409,0.121547308853739
"79","GFA","0.3","Overall","F_score",0.289671206383063,0.100379331978358
"80","GFA","0.3","Overall","BiS",0.0646638979571112,0.0362476965165869
"81","GFA","0.35","Overall","CSR",0.797278388278388,0.0251118159405898
"82","GFA","0.35","Overall","Rel",0.254881659572742,0.0895787315267547
"83","GFA","0.35","Overall","Rec",0.345395142436443,0.121234233355957
"84","GFA","0.35","Overall","F_score",0.292490249639934,0.101863196204208
"85","GFA","0.35","Overall","BiS",0.0655027171973353,0.0380380571903954
"86","GFA","0.4","Overall","CSR",0.795989010989011,0.0228174552129394
"87","GFA","0.4","Overall","Rel",0.246326240721142,0.0797628254469478
"88","GFA","0.4","Overall","Rec",0.332107408707951,0.10881934455035
"89","GFA","0.4","Overall","F_score",0.281888595069477,0.0907216422921274
"90","GFA","0.4","Overall","BiS",0.0596160693937953,0.0321641306576006
"91","iSSVD","0","Overall","CSR",0.682861568986569,0.181907646499766
"92","iSSVD","0","Overall","Rel",0.199946856711702,0.0950975396542245
"93","iSSVD","0","Overall","Rec",0.186741359314362,0.0743082427936988
"94","iSSVD","0","Overall","F_score",0.183591851878214,0.0801686171467298
"95","iSSVD","0","Overall","BiS",-0.00641297590851956,0.0678987164630447
"96","iSSVD","0.05","Overall","CSR",0.555,0.167903310564343
"97","iSSVD","0.05","Overall","Rel",0.220576719401768,0.0613163682720181
"98","iSSVD","0.05","Overall","Rec",0.129012059837513,0.0426349232204963
"99","iSSVD","0.05","Overall","F_score",0.154196193678858,0.0336095073788297
"100","iSSVD","0.05","Overall","BiS",-0.00139330481729712,0.0471382733854683
"101","iSSVD","0.1","Overall","CSR",0.656848443223443,0.146489138690241
"102","iSSVD","0.1","Overall","Rel",0.240411306209822,0.0557442781103719
"103","iSSVD","0.1","Overall","Rec",0.169396701546786,0.0422400337204253
"104","iSSVD","0.1","Overall","F_score",0.190849432063765,0.0306447155165276
"105","iSSVD","0.1","Overall","BiS",0.0452253818080716,0.0838029864523648
"106","iSSVD","0.15","Overall","CSR",0.616122252747253,0.157582149641411
"107","iSSVD","0.15","Overall","Rel",0.274784650687789,0.062327322241414
"108","iSSVD","0.15","Overall","Rec",0.172313905856351,0.0534975064823702
"109","iSSVD","0.15","Overall","F_score",0.200785998603167,0.0368027766455921
"110","iSSVD","0.15","Overall","BiS",0.035382075723626,0.0803075840388902
"111","iSSVD","0.2","Overall","CSR",0.654242063492064,0.103389445211507
"112","iSSVD","0.2","Overall","Rel",0.300953462170986,0.0592393743401876
"113","iSSVD","0.2","Overall","Rec",0.186913328034447,0.0373864229001708
"114","iSSVD","0.2","Overall","F_score",0.226363226692851,0.0337913957813511
"115","iSSVD","0.2","Overall","BiS",0.034634162422874,0.0638280517670972
"116","iSSVD","0.25","Overall","CSR",0.653545634920635,0.090944847235282
"117","iSSVD","0.25","Overall","Rel",0.379575706585408,0.0867844957591064
"118","iSSVD","0.25","Overall","Rec",0.188972049420754,0.0480635903982022
"119","iSSVD","0.25","Overall","F_score",0.248111984182414,0.0537378816116745
"120","iSSVD","0.25","Overall","BiS",0.114194337827146,0.0854560372686274
"121","iSSVD","0.3","Overall","CSR",0.739305555555556,0.106246901539997
"122","iSSVD","0.3","Overall","Rel",0.41721847686038,0.108430096432717
"123","iSSVD","0.3","Overall","Rec",0.248765719849342,0.0726511946369973
