"","Method","Views","Choice","Measure","Mean","S.d."
"81","NMTF","200","Overall","CSR",0.967916666666667,0.0209340997414871
"82","NMTF","200","Overall","Rel",0.895619547780741,0.0237049851023549
"83","NMTF","200","Overall","Rec",0.8639890617422,0.0430121858823499
"84","NMTF","200","Overall","F_score",0.878102969918284,0.0337171384592372
"85","NMTF","200","Overall","BiS",0.46340448807207,0.0151332033060341
"86","NMTF","300","Overall","CSR",0.963083333333333,0.0219124559076732
"87","NMTF","300","Overall","Rel",0.889753291307541,0.0264296125557333
"88","NMTF","300","Overall","Rec",0.850708501599428,0.0499109257061303
"89","NMTF","300","Overall","F_score",0.868237469884356,0.0390842415559965
"90","NMTF","300","Overall","BiS",0.457052084692439,0.0148448771072377
"91","NMTF","500","Overall","CSR",0.949333333333333,0.0227426435115732
"92","NMTF","500","Overall","Rel",0.86898963937692,0.0315397339607477
"93","NMTF","500","Overall","Rec",0.815388110556565,0.0494948946311819
"94","NMTF","500","Overall","F_score",0.839054088948179,0.0394768899536412
"95","NMTF","500","Overall","BiS",0.445610739561487,0.0188290852547155
"96","NMTF","1000","Overall","CSR",0.943916666666667,0.0256469325946623
"97","NMTF","1000","Overall","Rel",0.860881475665951,0.0346452495855778
"98","NMTF","1000","Overall","Rec",0.79805842427354,0.0603764895612624
"99","NMTF","1000","Overall","F_score",0.825649631209071,0.0474268089598398
"100","NMTF","1000","Overall","BiS",0.441881843280552,0.0194288727500344
