"","method","rep","omega","F score (V1)","F score (V2)","F.score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS - E (V1)","BiS - E (V2)","BiS.E","BiS - C (V1)","BiS - C (V2)","BiS.C","BiS - M (V1)","BiS - M (V2)","BiS.M","k"
"1","ResNMTF - BiS/BiS","2","0.55","0.474367818550084","0.355734850051067","0.415051334300575","0.513061943994998","0.557873485868102","0.53546771493155","0.441100857125192","0.261120888970469","0.35111087304783","0.151594103223106","0.0590709203111475","0.105332511767127","-0.00518401337583903","-0.00788817219111737","-0.0065360927834782","0.173271879904687","0.172881202926907","0.173076541415797","2"
"2","ResNMTF - BiS/F","3","none","0.499811202765085","0.499033776909431","0.499422489837258","0.553717189305605","0.55266960376191","0.553193396533757","0.455469878997213","0.454887562971136","0.455178720984174","0.0583219304767077","0.018899281740659","0.0386106061086833","-0.000484634052749469","-0.00344404929091395","-0.00196434167183171","0.0400930223617276","0.0465246663642765","0.043308844363002","3"
"3","ResNMTF - F/F","5","none","0.489991988006167","0.45770931835553","0.473850653180848","0.550914115789145","0.550339955263216","0.550627035526181","0.441202209990297","0.391768657625301","0.416485433807799","0.0571004264326055","0.0143338842271335","0.0357171553298695","-0.00451665229509637","-0.00283315009015463","-0.0036749011926255","0.0409310351052422","0.0442332801818641","0.0425821576435531","3"
"4","NMTF","2","none","0.536708519944024","0.246765204730249","0.391736862337136","0.610408055605475","0.264502935344309","0.437455495474892","0.478888420868431","0.231256969191029","0.35507269502973","0.0619701450133682","-0.00430317515897645","0.0288334849271959","-0.00575780131722323","-0.00574796945233646","-0.00575288538477984","0.0465684042697395","-0.0328028165638793","0.0068827938529301","3"
