"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",1,0,0.528966764028071,0.246816843334639,0.387891803681355,0.591675263399037,0.263703502452506,0.427689382925771,0.478276765472934,0.231962751963034,0.355119758717984,0.0605644634458991,-0.00462588873653603,0.0279692873546815,-0.00383130689424047,-0.00550485064349239,-0.00466807876886643,0.0484552307790229,-0.0309013328558952,0.00877694896156386,3
"2",2,0,0.497791465112146,0.247141566194196,0.372466515653171,0.548327350293949,0.263842964503204,0.406085157398577,0.455784658156625,0.232428706900409,0.344106682528517,0.0616917388777836,-0.00482333190854936,0.0284342034846171,-0.00204446093293018,-0.00572044527341201,-0.0038824531031711,0.0465633689121486,-0.0413822519794455,0.00259055846635154,3
"3",3,0,0.529755416341886,0.246002413825723,0.387878915083804,0.592157797070457,0.263237329824288,0.427697563447373,0.479251275844449,0.230885656282417,0.355068466063433,0.0605426696270289,-0.00326362761434605,0.0286395210063414,-0.00389518489236135,-0.00564395975731905,-0.0047695723248402,0.0438134081268742,-0.0373683959854907,0.00322250607069173,3
"4",4,0,0.505205054147916,0.24645958850288,0.375832321325398,0.556027503438505,0.264079368004188,0.410053435721347,0.462895158381568,0.231043980596863,0.346969569489215,0.0603431566543905,-0.00610917090887709,0.0271169928727567,-0.00141173949602104,-0.00569097083106193,-0.00355135516354148,0.0455435482456537,-0.0376683865113898,0.00393758086713192,3
"5",5,0,0.529793055451597,0.247574892408721,0.388683973930159,0.592014605968094,0.26482135449949,0.428417980233792,0.479406746110028,0.232437429907086,0.355922088008557,0.0631849890611875,-0.00464960689042406,0.0292676910853817,-0.00407205533683095,-0.0056370957297901,-0.00485457553331052,0.0500100493647232,-0.0409295666915784,0.00454024133657238,3
"6",1,500,0.502288260124814,0.246291308372617,0.374289784248716,0.553185092225839,0.261773087666827,0.407479089946333,0.459968037962273,0.232538519395091,0.346253278678682,0.0597610204656931,-0.00600099517878804,0.0268800126434525,-0.00165431168056657,-0.00583908868217275,-0.00374670018136966,0.044903504580951,-0.0487262590992833,-0.00191137725916614,3
"7",2,500,0.521229263167446,0.252055729717273,0.386642496442359,0.582645760448298,0.271447827248311,0.427046793848305,0.471525876204681,0.235249614471429,0.353387745338055,0.0602969927939324,-0.0077571854507497,0.0262699036715913,-0.00382177871623567,-0.00553562031503256,-0.00467869951563411,0.0417479485974758,-0.0388470576310113,0.00145044548323225,3
"8",3,500,0.519541040008727,0.253082208435581,0.386311624222154,0.580664428015874,0.269011315688531,0.424837871852202,0.470060342835518,0.238934080204537,0.354497211520027,0.0581207975219552,-0.00745747223526444,0.0253316626433454,-0.0039559638291947,-0.00525499333945143,-0.00460547858432307,0.0392751655964237,-0.0362054510351076,0.00153485728065805,3
"9",4,500,0.521898168256952,0.25056323653153,0.386230702394241,0.58359823562751,0.268337816907149,0.42596802626733,0.471996979934562,0.234997128843776,0.353497054389169,0.0616632286558258,-0.00691851822338605,0.0273723552162199,-0.00423916056351589,-0.00569730530645229,-0.00496823293498409,0.0405411776833879,-0.0315070527712583,0.00451706245606481,3
"10",5,500,0.523557504044715,0.254721478610327,0.389139491327521,0.585383454245799,0.26709896260611,0.426241208425955,0.473543644619827,0.243440345394216,0.358491995007021,0.0593125940598513,-0.00910701431956135,0.025102789870145,-0.00403805994375477,-0.00558099239058248,-0.00480952616716863,0.0433472587612262,-0.0438644085415865,-0.000258574890180181,3
"11",1,1000,0.497892879386115,0.245690083257074,0.371791481321594,0.549024849458327,0.257581343902664,0.403303096680495,0.45547356000247,0.23484829537684,0.345160927689655,0.0591532735300252,-0.00960169775067219,0.0247757878896765,-0.00172846326932382,-0.00553421231542939,-0.0036313377923766,0.0403375252109851,-0.0452772707002204,-0.00246987274461767,3
