"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","0.427805876217458","0.454793083876433","0.416848991847511","0.480399830560395","0.455307253687893","0.351724845766187","0.427441475075256","0.490725049846619","0.239666426984917","0.33934419107589","0.236352887450552","0.47271390862302"
"2","32000","12000","12000","27000","12000","6000","32000","10000","30000","2000","27000","29000"
"3","5","3","5","5","3","3","3","3","5","3","6","5"
