"Method","F score (V1)","F score (V2)","F score","Relevance (V1)","Relevance (V2)","Relevance","Recovery (V1)","Recovery (V2)","Recovery","BiS (V1)","BiS (V2)","BiS"
"ResNMTF - BiS",0.4993431,0.2458921,0.3726176,0.5518108,0.2617573,0.4067841,0.4559866,0.2318401,0.3439134,0.1217536,0.04866577,0.08520966
"ResNMTF - F score",0.5190532,0.2725232,0.3957882,0.578904,0.285512,0.432208,0.4704183,0.2606648,0.3655416,0.1133114,0.04100206,0.07715674
"NMTF",0.5312499,0.2454548,0.3883524,0.593722,0.2621988,0.4279604,0.480673,0.230721,0.355697,0.1163461,0.04856665,0.08245637
"ConcNMTF",0.495610859277952,0.495610859277952,0.495610859277952,0.561956477855384,0.561956477855384,0.561956477855384,0.443276784285725,0.443276784285725,0.443276784285725,0.055655574031761,0.055655574031761,0.055655574031761
"GFA",0.370535105459967,0.370535105459967,0.370535105459967,0.341479525942777,0.341479525942777,0.341479525942777,0.404995051132431,0.404995051132431,0.404995051132431,-0.00867476811427258,-0.0153652296012626,-0.0120199988577676
"iSSVD",0.0845345306520793,0.0845345306520793,0.0845345306520793,0.0934163701067616,0.0934163701067616,0.0934163701067616,0.0771949874396665,0.0771949874396665,0.0771949874396665,0.108858914408388,-0.0297678127038268,0.0395455508522806
