"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",1,0,0.499555493331873,0.246642487647239,0.373098990489556,0.550299532268842,0.265416389494091,0.407857960881467,0.457379743321015,0.230349032186448,0.343864387753732,0.0609935571725104,-0.00428486227160408,0.0283543474504532,-0.00171524148675682,-0.00573041912130337,-0.00372283030403009,0.0457154727339234,-0.0322496284391281,0.00673292214739765,3
"2",2,0,0.498224059218668,0.247302562462194,0.372763310840431,0.547910607186658,0.264446000982322,0.40617830408449,0.456799776315633,0.232246542311254,0.344523159313443,0.0627914424285123,-0.00332515470396164,0.0297331438622753,-0.00205680230757429,-0.00560594755373268,-0.00383137493065348,0.0453243800825733,-0.0289559511910791,0.00818421444574709,3
"3",3,0,0.504255421819582,0.247338028185457,0.37579672500252,0.554601805520999,0.264033422515809,0.409317614018404,0.46228912222113,0.232628437770624,0.347458779995877,0.0622804461643931,-0.00282653104541061,0.0297269575594912,-0.00124836537646497,-0.00572117392438228,-0.00348476965042363,0.0463424442699229,-0.0364539708203202,0.00494423672480133,3
"4",4,0,0.506275182449198,0.246383883098855,0.376329532774027,0.556800233405738,0.263333333333333,0.410066783369536,0.46415676576227,0.231484390122501,0.347820577942386,0.0605992561711057,-0.00336634296796706,0.0286164566015693,-0.00149854756088366,-0.00573691810245278,-0.00361773283166822,0.0445515284954884,-0.0295641394509237,0.00749369452228238,3
"5",5,0,0.529204541597714,0.246790781985505,0.38799766179161,0.591210641020657,0.263636322871966,0.427423481946312,0.478970205289834,0.231968703464525,0.355469454377179,0.0595295199917516,-0.00415944131474725,0.0276850393385022,-0.00409871458228395,-0.0056727625643644,-0.00488573857332417,0.0480177533624228,-0.0367325223390477,0.00564261551168756,3
"6",1,500,0.521715780073914,0.253649549114477,0.387682664594195,0.583590706918164,0.269485414618158,0.426538060768161,0.471703627548616,0.239571524008424,0.35563757577852,0.0626604815009055,-0.00964129771403167,0.0265095918934369,-0.0040357101974127,-0.00544834254646087,-0.00474202637193679,0.0410621657722161,-0.0327025147606366,0.00417982550578976,3
"7",2,500,0.522092092271423,0.25081577797605,0.386453935123736,0.584227829171379,0.269396845705621,0.4268123374385,0.471902727360122,0.234632505784702,0.353267616572412,0.0583810014689573,-0.00522190571581726,0.02657954787657,-0.00420261637009951,-0.00557778359090718,-0.00489019998050334,0.0438348715711406,-0.0412523053065826,0.001291283132279,3
"8",3,500,0.522115606937346,0.248643294870823,0.385379450904085,0.583647803808785,0.26204335407924,0.422845578944012,0.472320324563672,0.236547035848773,0.354433680206222,0.0578231891575597,-0.00776545561358803,0.0250288667719858,-0.00421268552578606,-0.00538641736227887,-0.00479955144403246,0.0465431460423668,-0.0525076918582393,-0.00298227290793623,3
"9",4,500,0.503262836729043,0.244215313905109,0.373739075317076,0.554203202124805,0.259789168767097,0.406996185445951,0.460898686849496,0.230403096840859,0.345650891845178,0.0573151462305119,-0.00522080253844856,0.0260471718460317,-0.00156215190507292,-0.00588067026277643,-0.00372141108392467,0.0421905059703244,-0.0394408017065126,0.00137485213190593,3
"10",5,500,0.521477217869814,0.252484685075302,0.386980951472558,0.58326510675504,0.272712933487003,0.427989020121021,0.471526319863465,0.235050048890829,0.353288184377147,0.0596063902059403,-0.00820926916113641,0.0256985605224019,-0.00400693929213019,-0.00561219658491191,-0.00480956793852105,0.0478546265349599,-0.0383121237528488,0.00477125139105557,3
"11",1,1000,0.501871446832138,0.249646826289945,0.375759136561042,0.55336910913175,0.25831483270896,0.405841970920355,0.459142688190597,0.241541660055906,0.350342174123251,0.062003152521339,-0.00662693025913807,0.0276881111311005,-0.00223531301180807,-0.00550849864501957,-0.00387190582841382,0.0430915401938516,-0.0488227184618651,-0.00286558913400674,3
"12",2,1000,0.497985777394189,0.251872102743401,0.374928940068795,0.54934691877166,0.259753403836214,0.404550161303937,0.455407494175611,0.244454978424165,0.349931236299888,0.0607061796797001,-0.00891043891580932,0.0258978703819454,-0.00137493397329133,-0.00518876854096513,-0.00328185125712823,0.0442310179546488,-0.0451118110209157,-0.000440396533133464,3
"13",3,1000,0.518644006558183,0.251288911652143,0.384966459105163,0.579260310301433,0.268027900688299,0.423644105494866,0.46951221779437,0.23651780416446,0.353015010979415,0.0562181203728726,-0.00660742029016401,0.0248053500413543,-0.00422453863242596,-0.00571134711604194,-0.00496794287423395,0.0412474538254242,-0.0331159506664714,0.00406575157947641,3
"14",4,1000,0.499997500915294,0.245705285163716,0.372851393039505,0.551722235308848,0.254927026809853,0.40332463105935,0.457139985291281,0.23712742703432,0.3471337061628,0.0626112999225913,-0.00650859947597703,0.0280513502233071,-0.00169244985682452,-0.00566847617009626,-0.00368046301346039,0.045214376673739,-0.0405899811149368,0.0023121977794011,3
"15",5,1000,0.521088027520854,0.254375940570444,0.387731984045649,0.582247975178615,0.272432056829738,0.427340016004177,0.471555351038153,0.238564482542169,0.355059916790161,0.0608819885855666,-0.00651044681718215,0.0271857708841922,-0.00398871216960829,-0.00561623382263708,-0.00480247299612268,0.0399907144118865,-0.051319484316758,-0.00566438495243576,3
"16",1,1500,0.519896058084305,0.255201938493919,0.387548998289112,0.58073977810417,0.271846020316827,0.426292899210499,0.470592405029006,0.240478376353822,0.355535390691414,0.062064347499333,-0.00552655978342352,0.0282688938579548,-0.00413119482492625,-0.00560763571619285,-0.00486941527055955,0.0419560947357385,-0.043837561076275,-0.000940733170268229,3
"17",2,1500,0.50132329104876,0.255752440621894,0.378537865835327,0.553658684477577,0.263301925525918,0.408480305001748,0.458027568155378,0.248623811730585,0.353325689942982,0.0619695985745726,-0.00632044849913413,0.0278245750377192,-0.00228662063548756,-0.00499429917932998,-0.00364045990740877,0.043314870943621,-0.0498812788900254,-0.00328320397320219,3
"18",3,1500,0.496346390818235,0.247400346406178,0.371873368612207,0.547285280847172,0.255733451275247,0.401509366061209,0.454082411111227,0.239593174375957,0.346837792743592,0.0595061902478705,-0.00650676081975952,0.0264997147140555,-0.00203959226218283,-0.00536675151966946,-0.00370317189092614,0.0418126967166316,-0.0427560928862151,-0.000471698084791777,3
"19",4,1500,0.501462034011127,0.244740347179175,0.373101190595151,0.553284998332488,0.252132547621746,0.402708772977117,0.458515567097846,0.237769259773343,0.348142413435595,0.0601818570632118,-0.00812222966365085,0.0260298136997805,-0.00232083721424767,-0.00549135458588838,-0.00390609590006802,0.0422808556384276,-0.0402580856990309,0.00101138496969835,3
"20",5,1500,0.48602836263499,0.254279842346688,0.370154102490839,0.537290842296691,0.263613688227603,0.400452265262147,0.443695717273848,0.245584365881443,0.344640041577646,0.0612292737769098,-0.00880548389032637,0.0262118949432917,-0.00285785519506269,-0.0053850964524608,-0.00412147582376174,0.0468755621440437,-0.0424703657061365,0.00220259821895358,3
"21",1,2000,0.474747182841951,0.260786711929914,0.367766947385933,0.526318801072768,0.267987602326002,0.397153201699385,0.432380187903385,0.253962674664446,0.343171431283916,0.0597059299908534,-0.00346109261639424,0.0281224186872296,-0.00257800678548566,-0.0048297885642341,-0.00370389767485988,0.0407926285275497,-0.0395428409282726,0.000624893799638544,3
"22",2,2000,0.517786528869633,0.262749580230735,0.390268054550184,0.58406663716298,0.276677919169079,0.43037227816603,0.46501629907132,0.250156371697668,0.357586335384494,0.0589123376861715,-0.00584924665617411,0.0265315455149987,-0.00579225471405821,-0.0052742773844931,-0.00553326604927566,0.0406889283019231,-0.0368579393199304,0.00191549449099633,3
"23",3,2000,0.49986477208617,0.257882381163396,0.378873576624783,0.552156417369927,0.267512910668665,0.409834664019296,0.456620773193991,0.248921159208714,0.352770966201352,0.0591124135300074,-0.00889979578640067,0.0251063088718034,-0.00262618279010045,-0.00497173348028538,-0.00379895813519291,0.0379910237374796,-0.047584165420849,-0.00479657084168467,3
"24",4,2000,0.519722222308178,0.25807696091865,0.388899591613414,0.583076634940534,0.272567868120988,0.427822251530761,0.468786091919725,0.245049073903103,0.356917582911414,0.0610979506177283,-0.0120891756599768,0.0245043874788757,-0.0055352185285814,-0.00545929567074524,-0.00549725709966332,0.0413405058522457,-0.0375630927091234,0.00188870657156115,3
"25",5,2000,0.486759877270501,0.255855877155716,0.371307877213109,0.539517845319167,0.264659241382256,0.402088543350712,0.443400919378259,0.247619312338789,0.345510115858524,0.0563888925857847,-0.00797685098357804,0.0242060208011033,-0.00266462295292418,-0.00507379736844583,-0.003869210160685,0.0395912429142466,-0.0361719683374853,0.00170963728838068,3
