"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",1,0,0.431688424179917,0.228434411931073,0.330061418055495,0.412952116689554,0.231365533691115,0.322158825190335,0.452205731874642,0.225576628603931,0.338891180239287,-0.108924756608485,0,-0.0544623783042425,0.0133633953860559,0,0.00668169769302797,-0.119804672698764,0,-0.0599023363493821,3
"2",2,0,0.483321828027448,0.22927829075731,0.356300059392379,0.487205577977102,0.231635071090047,0.359420324533575,0.479499506876238,0.226968985697775,0.353234246287006,-0.0831293849442807,0,-0.0415646924721403,0.0148259791365909,0,0.00741298956829547,-0.103439444725361,0,-0.0517197223626804,3
"3",3,0,0.431673584968571,0.230450859331411,0.331062222149991,0.404908701318712,0.234523809523809,0.319716255421261,0.462227286329144,0.226516963192299,0.344372124760721,-0.10217024766706,0,-0.05108512383353,0.0156365896068613,0,0.00781829480343063,-0.113778258542119,0,-0.0568891292710595,3
"4",4,0,0.432535608109071,0.228457717015901,0.330496662562486,0.405505655631883,0.231503579952267,0.318504617792075,0.46342640726587,0.225490961332256,0.344458684299063,-0.103166143536774,0,-0.051583071768387,0.0154934628732749,0,0.00774673143663743,-0.114860120616742,0,-0.0574300603083712,3
"5",5,0,0.43060647242536,0.228100019948452,0.329353246186906,0.404566168670909,0.231044776119403,0.317805472395156,0.460229608860339,0.225229383237645,0.342729496048992,-0.103048858238116,0,-0.051524429119058,0.0155334034422508,0,0.00776670172112541,-0.114092249843264,0,-0.0570461249216322,3
"6",1,500,0.437882750815847,0.227106951051589,0.332494850933718,0.409008324571889,0.230035756853397,0.319522040712643,0.471143697149619,0.224251786522315,0.347697741835967,-0.102882673942244,0,-0.051441336971122,0.0149218663143328,0,0.0074609331571664,-0.114821536561394,0,-0.0574107682806968,3
"7",2,500,0.431238360753876,0.228173650243737,0.329706005498806,0.40527261018789,0.232100238663484,0.318686424425687,0.460759123233578,0.22437770880856,0.342568416021069,-0.102232229026755,0,-0.0511161145133776,0.0152654846731098,0,0.00763274233655489,-0.113789895037714,0,-0.0568949475188569,3
"8",3,500,0.430648760678573,0.228755236075989,0.329701998377281,0.404779752724176,0.231866825208086,0.318323288966131,0.460050028310384,0.225726054402076,0.34288804135623,-0.102382750496743,0,-0.0511913752483715,0.015309265495705,0,0.0076546327478525,-0.113670304495034,0,-0.0568351522475171,3
"9",4,500,0.474427552730695,0.227469466258402,0.350948509494548,0.478459319442926,0.228944246737841,0.353701783090384,0.470463166093613,0.226013564232611,0.348238365163112,-0.080858850540324,0,-0.040429425270162,0.0149473356657723,0,0.00747366783288616,-0.100772689491369,0,-0.0503863447456843,3
"10",5,500,0.462585129256763,0.231056378451689,0.346820753854226,0.453636025101588,0.236431226765799,0.345033625933694,0.471894425994214,0.225920473633023,0.348907449813618,-0.0666505566701191,0,-0.0333252783350595,0.014536856001314,0,0.00726842800065701,-0.0869568473531904,0,-0.0434784236765952,4
"11",1,1000,0.459490469472212,0.227676085723107,0.34358327759766,0.464240617467592,0.229415105053947,0.346827861260769,0.454836544718908,0.225963232382089,0.340399888550498,-0.0702998426934077,0,-0.0351499213467039,0.0157156049257348,0,0.00785780246286738,-0.0862966699501342,0,-0.0431483349750671,4
"12",2,1000,0.476410137750721,0.232648243884275,0.354529190817498,0.48261132319755,0.239856801909308,0.361234062553429,0.470366291571058,0.225860330087265,0.348113310829162,-0.081295789841362,0,-0.040647894920681,0.0147675863965371,0,0.00738379319826856,-0.102468239476539,0,-0.0512341197382696,3
"13",3,1000,0.436795293858313,0.232888846067854,0.334842069963083,0.408514566233954,0.240730176839703,0.324622371536829,0.469282904057289,0.225542233848941,0.347412568953115,-0.102498616743713,0,-0.0512493083718567,0.0148323237245444,0,0.00741616186227218,-0.114176019154636,0,-0.0570880095773179,3
"14",4,1000,0.42954371025408,0.22903393983676,0.32928882504542,0.404136448281218,0.234249713631157,0.319193080956188,0.458359893346806,0.224045374535467,0.341202633941137,-0.101382607771627,0,-0.0506913038858137,0.0150839362503061,0,0.00754196812515303,-0.112872145490075,0,-0.0564360727450376,3
"15",5,1000,0.474229278218942,0.226411467297074,0.350320372758008,0.477246652487092,0.227434679334917,0.352340665911004,0.471249818710036,0.225397420737107,0.348323619723571,-0.0825353196185718,0,-0.0412676598092859,0.0150241715025191,0,0.00751208575125953,-0.103056550102508,0,-0.0515282750512538,3
"16",1,1500,0.453689525890814,0.241744528306919,0.347717027098867,0.444979299960169,0.242420499806669,0.343699899883419,0.462747555689665,0.241072316116927,0.351909935903296,-0.0513095220587379,-0.0465485485744583,-0.0489290353165981,0.0142062702828955,0.00523090898998792,0.00971858963644173,-0.0698931879481808,-0.141048185582696,-0.105470686765439,5
"17",2,1500,0.448813861405161,0.229848207257421,0.339331034331291,0.438689481142529,0.235435435435435,0.337062458288982,0.459416596417126,0.224520017945257,0.341968307181191,-0.0523531065559032,0,-0.0261765532779516,0.0140666763631957,0,0.00703333818159783,-0.069200088606655,0,-0.0346000443033275,5
"18",3,1500,0.434025068914816,0.228677798513147,0.331351433713981,0.40703063551293,0.23327615780446,0.320153396658695,0.464854397153778,0.22425722125944,0.344555809206609,-0.102260905884025,0,-0.0511304529420124,0.0144266707072176,0,0.00721333535360881,-0.113544532576131,0,-0.0567722662880657,3
"19",4,1500,0.423887918746557,0.231240162320945,0.327564040533751,0.399285325078527,0.237037037037037,0.318161181057782,0.451721446559407,0.225720050897356,0.338720748728381,-0.100926448028765,0,-0.0504632240143824,0.0144055963600863,0,0.00720279818004317,-0.111050467600006,0,-0.0555252338000028,3
"20",5,1500,0.47676702656976,0.23317033163884,0.3549686791043,0.484552050216027,0.240190249702735,0.362371149959381,0.469228202514751,0.226549096607032,0.347888649560891,-0.0812578968316188,0,-0.0406289484158094,0.0145850252451035,0,0.00729251262255174,-0.104734167912322,0,-0.0523670839561612,3
"21",1,2000,0.469544935958941,0.229578199529921,0.349561567744431,0.502266094450241,0.234455219623503,0.368360657036872,0.440826393257554,0.224899943506081,0.332863168381817,-0.0832253618478547,0,-0.0416126809239273,0.0133487574520596,0,0.00667437872602979,-0.0995890824230226,0,-0.0497945412115113,3
"22",2,2000,0.475862826320099,0.228526358540526,0.352194592430313,0.485605691508073,0.231547619047619,0.358576655277846,0.466503220236399,0.225582926047696,0.346043073142047,-0.0809482210888576,0,-0.0404741105444288,0.0149432300878785,0,0.00747161504393925,-0.102280293869761,0,-0.0511401469348804,3
"23",3,2000,0.475196021089358,0.231344215900297,0.353270118494828,0.480952075133566,0.237328562909958,0.359140319021762,0.469576114999842,0.225654242166135,0.347615178582989,-0.0807809469370675,0,-0.0403904734685337,0.0143999873483127,0,0.00719999367415634,-0.100884272578735,0,-0.0504421362893676,3
"24",4,2000,0.473500257232306,0.235072279378382,0.354286268305344,0.494318443592804,0.243197278911565,0.368757861252184,0.454364719156321,0.227472626168038,0.34091867266218,-0.0802971189484958,0,-0.0401485594742479,0.0137403463837036,0,0.00687017319185182,-0.102375477069265,0,-0.0511877385346325,3
"25",5,2000,0.448636078088005,0.234138025940016,0.34138705201401,0.436287279685973,0.243551289742052,0.339919284714012,0.461704286634226,0.225425330926495,0.34356480878036,-0.0658610730589013,0,-0.0329305365294506,0.0144825469893867,0,0.00724127349469334,-0.0839986846633172,0,-0.0419993423316586,4
"26",1,2500,0.472161379557788,0.232057771054845,0.352109575306317,0.476876815073975,0.238095238095238,0.357486026584607,0.467538284946506,0.226318920361193,0.34692860265385,-0.08053351206607,0,-0.040266756033035,0.014693746621821,0,0.00734687331091052,-0.0999752235868098,0,-0.0499876117934049,3
"27",2,2500,0.472699318489152,0.229727283996574,0.351213301242863,0.479144546469768,0.234207389749702,0.356675968109735,0.46642518539524,0.225415359215951,0.345920272305595,-0.0791677753235362,0,-0.0395838876617681,0.0149108134971393,0,0.00745540674856964,-0.100544689520744,0,-0.0502723447603721,3
