"","rep","method","F score (V1)","F score (V2)","F score (V3)","F score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E (V3)","BiS-E","BiS-C (V1)","BiS-C (V2)","BiS-C (V3)","BiS-C","BiS-M (V1)","BiS-M (V2)","BiS-M (V3)","BiS-M"
"1","1","issvd","0.261490000730403","0.261490000730403","0.261490000730403","0.261490000730403","0.264843609529518","0.264843609529518","0.264843609529518","0.264843609529518","0.258220260750268","0.258220260750268","0.258220260750268","0.258220260750268","-0.229735580540046","-0.213546035264674","-0.241574597327871","-0.22828540437753","-0.010078387623055","-0.0247599844338074","-0.0445333911381818","-0.0264572543983481","-0.30123763632672","-0.283985808161444","-0.313565639890154","-0.299596361459439"
"2","2","issvd","0.270364966049518","0.270364966049518","0.270364966049518","0.270364966049518","0.27270180825018","0.27270180825018","0.27270180825018","0.27270180825018","0.268067833405763","0.268067833405763","0.268067833405763","0.268067833405763","-0.224997574257876","-0.217069946757786","-0.217582052216187","-0.219883191077283","-0.00551455116107887","-0.0235779913063252","-0.0423561396190422","-0.0238162273621488","-0.296296246280159","-0.289756257705661","-0.293991374143603","-0.293347959376474"
"3","3","issvd","0.265320264437797","0.265320264437797","0.265320264437797","0.265320264437797","0.267191027369893","0.267191027369893","0.267191027369893","0.267191027369893","0.263475516005523","0.263475516005523","0.263475516005523","0.263475516005523","-0.220891102947542","-0.211221361207906","-0.182953425229713","-0.205021963128387","-0.00615331767647402","-0.0290256626899033","0.00587190161915599","-0.00976902624907379","-0.292075511568165","-0.282726080702039","-0.255172188310118","-0.276657926860107"
"4","4","issvd","0.277296488500583","0.277296488500583","0.277296488500583","0.277296488500583","0.280275999430929","0.280275999430929","0.280275999430929","0.280275999430929","0.27437965938972","0.27437965938972","0.27437965938972","0.27437965938972","-0.225403408243803","-0.231481792452439","-0.246790929296808","-0.234558709997683","-0.00336596350186883","-0.0317458643688061","-0.0583792228311065","-0.0311636835672605","-0.297871721933006","-0.300186303469934","-0.320941387595433","-0.306333137666124"
"5","5","issvd","0.269755624785918","0.269755624785918","0.269755624785918","0.269755624785918","0.272036094210928","0.272036094210928","0.272036094210928","0.272036094210928","0.267513071706385","0.267513071706385","0.267513071706385","0.267513071706385","-0.225584154447394","-0.224994622364491","-0.241970877054636","-0.230849884622174","-0.00363490708640724","-0.0256807738434388","-0.0444473515278312","-0.0245876774858924","-0.293718215638314","-0.295469682052331","-0.315377950766576","-0.30152194948574"
