"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",1,0.4,0.513193798849771,0.516478415229335,0.513193798849771,0.514288670976292,0.64554991808044,0.650387847446671,0.64554991808044,0.647162561202517,0.425876904043573,0.428295868726689,0.425876904043573,0.426683225604612,-0.226551053991916,-0.207332748919528,-0.221015455269552,-0.218299752726999,0.0580711832852658,0.0587879907031434,0.0632567693693612,0.0600386477859235,-0.294507912367668,-0.257446522300404,-0.289263837302589,-0.280406090656887,3
"2",2,0.4,0.41221994792982,0.41221994792982,0.41221994792982,0.41221994792982,0.737745098039216,0.737745098039216,0.737745098039216,0.737745098039216,0.286016886514726,0.286016886514726,0.286016886514726,0.286016886514726,-0.27281335704376,-0.255137846119921,-0.264752644001434,-0.264234615721705,0.092114838814892,0.0860022660703324,0.100161422778618,0.0927595092212806,-0.36769371853501,-0.372401516145027,-0.376774265868863,-0.3722898335163,2
"3",3,0.4,0.405211630699703,0.401226252277965,0.398401552181162,0.401613145052943,0.637184126632448,0.609579741719554,0.60467778093524,0.617147216429081,0.297063167104079,0.299021223147395,0.297063167104079,0.297715852451851,-0.225192813676349,-0.208517645608683,-0.212892339344206,-0.215534266209746,0.067746990666908,0.0620161920461226,0.0620919626733663,0.063951715128799,-0.298117813438058,-0.266761139909875,-0.28098363202495,-0.281954195124295,3
"4",4,0.4,0.510110240852607,0.510110240852607,0.510110240852607,0.510110240852607,0.642409459758138,0.642409459758138,0.642409459758138,0.642409459758138,0.422997254669306,0.422997254669306,0.422997254669306,0.422997254669306,-0.222835038768081,-0.204292733506717,-0.218033626714354,-0.215053799663051,0.0571925932432708,0.0567913760604916,0.0621751137039032,0.0587196943358885,-0.289618778072832,-0.254391218815604,-0.284898240304995,-0.276302745731144,3
"5",5,0.4,0.388586485217231,0.388586485217231,0.388586485217231,0.388586485217231,0.609565807327001,0.609565807327001,0.609565807327001,0.609565807327001,0.285197066580156,0.285197066580156,0.285197066580156,0.285197066580156,-0.227054154877701,-0.205208835739873,-0.221901880015687,-0.218054956877754,0.0672867918611576,0.0575857394403019,0.0679388479918566,0.0642704597644387,-0.298279848915435,-0.270301997841224,-0.299631122046628,-0.289404322934429,3
