"Method","F score (V1)","F score (V2)","F score (V3)","F score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS (V1)","BiS (V2)","BiS (V3)","BiS"
"ResNMTF - BiS","0.4635177","0.4658047","0.4659961","0.4651062","0.5195954","0.5221104","0.5223208","0.5213422","0.4183653","0.4204611","0.4206365","0.4198210","0.1330239","0.09505991","0.2677988","0.1652942"
"ResNMTF - F score","0.5071364","0.5071364","0.5071364","0.5071364","0.6126837","0.6126837","0.6126837","0.6126837","0.4326104","0.4326104","0.4326104","0.4326104","0.1342312","0.08745809","0.1164560","0.1127151"
"NMTF","0.4987669","0.4629311","0.4044409","0.4553796","0.5831895","0.5534927","0.5041921","0.5469581","0.4356955","0.3978375","0.3376409","0.3903913","0.1640649","0.06070386","0.2015195","0.1420961"
"ConcNMTF","0.517009307061361","0.517009307061361","0.517009307061361","0.517009307061361","0.508506540067218","0.508506540067218","0.508506540067218","0.508506540067218","0.525801260059492","0.525801260059492","0.525801260059492","0.525801260059492","0.123435270213207","0.123435270213207","0.123435270213207","0.123435270213207"
"GFA","0.441830380166082","0.441830380166082","0.441830380166082","0.441830380166082","0.448191940919138","0.448191940919138","0.448191940919138","0.448191940919138","0.435646881863611","0.435646881863611","0.435646881863611","0.435646881863611","-0.185720120404678","-0.179804224536673","-0.201582396743469","-0.189035580561607"
"iSSVD","0.282764943127227","0.282764943127227","0.282764943127227","0.282764943127227","0.289742593360429","0.289742593360429","0.289742593360429","0.289742593360429","0.276115464657348","0.276115464657348","0.276115464657348","0.276115464657348","-0.0373622899109423","-0.0339629024046122","-0.0257162695345017","-0.0323471539500187"
