"","method","rep","omega","F score (V1)","F score (V2)","F score (V3)","F.score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS - E (V1)","BiS - E (V2)","BiS - E (V3)","BiS.E","BiS - C (V1)","BiS - C (V2)","BiS - C (V3)","BiS.C","BiS - M (V1)","BiS - M (V2)","BiS - M (V3)","BiS.M","k"
"1","ResNMTF - BiS/BiS","5","0.55","0.27549733889885","0.27549733889885","0.411616714783188","0.320870464193629","0.805970149253731","0.805970149253731","0.739348710990502","0.783763003165988","0.166144488064301","0.166144488064301","0.285197066580156","0.205828680902919","-0.276465617276273","-0.265538282181866","-0.267085938840711","-0.269696612766283","0.0950443043684972","0.0869162139234239","0.0998762821414602","0.0939456001444604","-0.388826412088008","-0.375722863486805","-0.369284350173166","-0.377944541915993","0"
"2","ResNMTF - BiS/F","1","0.4","0.513193798849771","0.516478415229335","0.513193798849771","0.514288670976292","0.64554991808044","0.650387847446671","0.64554991808044","0.647162561202517","0.425876904043573","0.428295868726689","0.425876904043573","0.426683225604612","-0.226551053991916","-0.207332748919528","-0.221015455269552","-0.218299752726999","0.0580711832852658","0.0587879907031434","0.0632567693693612","0.0600386477859235","-0.294507912367668","-0.257446522300404","-0.289263837302589","-0.280406090656887","0"
"3","ResNMTF - F/F","2","0.4","0.503307281057256","0.50167782126018","0.501708890309151","0.502231330875529","0.536753169924532","0.53569547761684","0.535729627706484","0.536059425082619","0.473785030662805","0.471722563591535","0.471751021999572","0.472419538751304","-0.228959888518813","-0.214733637423189","-0.225197673191899","-0.222963733044634","0.0592963021571182","0.0539008947509881","0.0593557622769384","0.0575176530616816","-0.290788632421325","-0.265639770638319","-0.294275331576918","-0.283567911545521","0"
"4","NMTF","3","0.35","0.544604401089647","0.481890431314867","0.445849773062412","0.490781535155642","0.718736572069905","0.607209169463686","0.698169688676018","0.674705143403203","0.43839265672599","0.399450021672051","0.327493110761481","0.388445263053174","-0.189761289284327","-0.184098791708618","-0.241920378855917","-0.205260153282954","0.0577910840528461","0.0465699200972818","0.056501943603313","0.0536209825844803","-0.236629138808293","-0.225892001048933","-0.35922343666332","-0.273914858840182","0"
