"","method","rep","psi","F score (V1)","F score (V2)","F score (V3)","F.score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS - E (V1)","BiS - E (V2)","BiS - E (V3)","BiS.E","BiS - C (V1)","BiS - C (V2)","BiS - C (V3)","BiS.C","BiS - M (V1)","BiS - M (V2)","BiS - M (V3)","BiS.M","k"
"1","ResNMTF - BiS (E)","3","1100","0.449606134903952","0.449606134903952","0.449606134903952","0.449606134903952","0.479334064311128","0.479334064311128","0.479334064311128","0.479334064311128","0.423350276866249","0.423350276866249","0.423350276866249","0.423350276866249","0.157404195023041","0.11293467235503","0.133116326851211","0.134485064743094","0.0549968861164342","0.0319659840472496","0.0446966460167996","0.0438865053934945","0.171184831729402","0.120029656633885","0.144772833500064","0.145329107287784","6"
"2","ResNMTF - BiS (C)","5","1150","0.451766924145297","0.451766924145297","0.451766924145297","0.451766924145297","0.482412692055438","0.482412692055438","0.482412692055438","0.482412692055438","0.424782193579186","0.424782193579186","0.424782193579186","0.424782193579186","0.157783918037472","0.109361164303646","0.131662798194766","0.132935960178628","0.0571896214916612","0.0306096246295033","0.0438677153504581","0.0438889871572075","0.171815440585945","0.114019696788043","0.141417825872069","0.142417654415352","6"
"3","ResNMTF - BiS (M)","3","1100","0.449606134903952","0.449606134903952","0.449606134903952","0.449606134903952","0.479334064311128","0.479334064311128","0.479334064311128","0.479334064311128","0.423350276866249","0.423350276866249","0.423350276866249","0.423350276866249","0.157404195023041","0.11293467235503","0.133116326851211","0.134485064743094","0.0549968861164342","0.0319659840472496","0.0446966460167996","0.0438865053934945","0.171184831729402","0.120029656633885","0.144772833500064","0.145329107287784","6"
"4","ResNMTF - F score","3","1350","0.50714714092197","0.50714714092197","0.50714714092197","0.50714714092197","0.613822390424221","0.613822390424221","0.613822390424221","0.613822390424221","0.432060083318665","0.432060083318665","0.432060083318665","0.432060083318665","0.133765032521208","0.0874617327910663","0.113350572717777","0.11152577934335","0.0448781196657685","0.0237246299159753","0.0362830600502427","0.0349619365439955","0.151225470037482","0.0968616731159655","0.121863639327839","0.123316927493762","4"
