"","Method","Noise","Choice","Measure","Mean","S.d."
"1","ResNMTF","1","Overall","CSR",1,0
"2","ResNMTF","1","Overall","Rel",1,0
"3","ResNMTF","1","Overall","Rec",1,0
"4","ResNMTF","1","Overall","F_score",1,0
"5","ResNMTF","1","Overall","BiS",0.682588130762442,0.00261641644556952
"6","ResNMTF","2","Overall","CSR",1,0
"7","ResNMTF","2","Overall","Rel",0.995443092633791,0.00643767291656722
"8","ResNMTF","2","Overall","Rec",0.995443092633791,0.00643767291656722
"9","ResNMTF","2","Overall","F_score",0.995443092633791,0.00643767291656722
"10","ResNMTF","2","Overall","BiS",0.638548458710164,0.0128261851375817
"11","ResNMTF","3","Overall","CSR",1,0
"12","ResNMTF","3","Overall","Rel",0.978985151571121,0.0132464422765574
"13","ResNMTF","3","Overall","Rec",0.978985151571121,0.0132464422765574
"14","ResNMTF","3","Overall","F_score",0.978985151571121,0.0132464422765574
"15","ResNMTF","3","Overall","BiS",0.576666951999649,0.0256357115475777
"16","ResNMTF","4","Overall","CSR",1,0
"17","ResNMTF","4","Overall","Rel",0.954699413643503,0.0181060719409636
"18","ResNMTF","4","Overall","Rec",0.954699413643503,0.0181060719409636
"19","ResNMTF","4","Overall","F_score",0.954699413643503,0.0181060719409636
"20","ResNMTF","4","Overall","BiS",0.511978964404168,0.0325938909231639
"21","ResNMTF","5","Overall","CSR",0.99875,0.0125
"22","ResNMTF","5","Overall","Rel",0.939780364619281,0.0263627358535737
"23","ResNMTF","5","Overall","Rec",0.938421105360022,0.0370048277844611
"24","ResNMTF","5","Overall","F_score",0.939034133100713,0.0319291779792348
"25","ResNMTF","5","Overall","BiS",0.473310413189841,0.0339923675668544
"26","ResNMTF","6","Overall","CSR",0.984666666666667,0.040837198332853
"27","ResNMTF","6","Overall","Rel",0.903001285330111,0.0566080539311812
"28","ResNMTF","6","Overall","Rec",0.886889806680296,0.0993324997216952
"29","ResNMTF","6","Overall","F_score",0.894143062258101,0.07981176480288
"30","ResNMTF","6","Overall","BiS",0.426805191739989,0.0376514470012939
"31","ResNMTF","7","Overall","CSR",0.979666666666667,0.04603102452537
"32","ResNMTF","7","Overall","Rel",0.887881969495876,0.0591410841137388
"33","ResNMTF","7","Overall","Rec",0.866392662613603,0.107785274312972
"34","ResNMTF","7","Overall","F_score",0.876063082529033,0.0855975359269411
"35","ResNMTF","7","Overall","BiS",0.402031324718617,0.032341239894142
"36","ResNMTF","8","Overall","CSR",0.95625,0.0599215606801378
"37","ResNMTF","8","Overall","Rel",0.852590013563043,0.0696527257403929
"38","ResNMTF","8","Overall","Rec",0.804949480866099,0.133918857278053
"39","ResNMTF","8","Overall","F_score",0.826429809551009,0.104791919638158
"40","ResNMTF","8","Overall","BiS",0.372612774201185,0.0266144833463887
"41","ResNMTF","9","Overall","CSR",0.94,0.0627645914460848
"42","ResNMTF","9","Overall","Rel",0.829704171191596,0.068770090139172
"43","ResNMTF","9","Overall","Rec",0.764305701146685,0.136241777975939
"44","ResNMTF","9","Overall","F_score",0.793787179439292,0.105676282445276
"45","ResNMTF","9","Overall","BiS",0.351211476262866,0.0228230922847629
"46","ResNMTF","10","Overall","CSR",0.92375,0.0612758912500247
"47","ResNMTF","10","Overall","Rel",0.8097518128941,0.0636211953159963
"48","ResNMTF","10","Overall","Rec",0.726562744708406,0.129860402775465
"49","ResNMTF","10","Overall","F_score",0.764057652296563,0.0999044959812863
"50","ResNMTF","10","Overall","BiS",0.332894262444326,0.0143605920224926
