"","Method","Parameter","Choice","Measure","Mean","S.d."
"88","iSSVD","0.85","Overall","Rec",0.160795758584514,0.0269322448695809
"89","iSSVD","0.85","Overall","F_score",0.171990787889575,0.0272641782251033
"90","iSSVD","0.85","Overall","BiS",0.067575302555315,0.0218031222586521
"91","iSSVD","0.9","Overall","CSR",0.9,0
"92","iSSVD","0.9","Overall","Rel",0.185028762448044,0.0266722096905221
"93","iSSVD","0.9","Overall","Rec",0.160795758584514,0.0269322448695809
"94","iSSVD","0.9","Overall","F_score",0.171990787889575,0.0272641782251033
"95","iSSVD","0.9","Overall","BiS",0.0685053158187698,0.0213959073121765
"96","iSSVD","0.95","Overall","CSR",0.9,0
"97","iSSVD","0.95","Overall","Rel",0.185026508574882,0.0266821337966797
"98","iSSVD","0.95","Overall","Rec",0.160797920909492,0.026922805280906
"99","iSSVD","0.95","Overall","F_score",0.17199159799906,0.0272606147838006
"100","iSSVD","0.95","Overall","BiS",0.0687046822563677,0.0201798416237252
"101","iSSVD","1","Overall","CSR",0.9,0
"102","iSSVD","1","Overall","Rel",0.185021831896116,0.0266799770209693
"103","iSSVD","1","Overall","Rec",0.160797775145295,0.0269232149432258
"104","iSSVD","1","Overall","F_score",0.171989543077143,0.0272595714635243
"105","iSSVD","1","Overall","BiS",0.0689908692190172,0.0210754369329723
