"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",1,0,0.498543326582704,0.459970224212315,0.402127227674066,0.453546926156362,0.580944564694565,0.545499898111838,0.496727718275878,0.541057393694094,0.436613957030624,0.397625914174716,0.337795047251769,0.39067830615237,0.0257463994269381,-0.170917720834382,-0.173701347258058,-0.106290889555167,0.0105399942961567,-0.0160067875343901,-0.0203035363736937,-0.00859010987064238,0.0320715769567027,-0.303063236668587,-0.309081838227069,-0.193357832646318,4
"2",2,0,0.498509610060568,0.459281522349767,0.400880326636117,0.452890486348818,0.579960548710549,0.544778397390338,0.492939839488,0.539226261862962,0.437119573084485,0.396979958822878,0.337795047251769,0.390631526386378,0.0148081187006801,-0.192787020489321,-0.179525988248922,-0.119168296679188,0.0123216879544262,-0.0173830049932393,-0.0188194099630588,-0.0079602423339573,0.0219353206501717,-0.317582828869954,-0.250554546164049,-0.182067351461277,4
"3",3,0,0.498766876854128,0.459970224212315,0.403924165289243,0.454220422118562,0.583189462653748,0.545499898111838,0.503285836774296,0.543991732513294,0.435695532421723,0.397625914174716,0.337327058910646,0.390216168502362,0.0261139243416776,-0.153870874110533,-0.178935545673776,-0.102230831814211,0.0103914029531087,-0.0180965068912928,-0.0174106273703911,-0.00837191043619172,0.031684287779126,-0.217220803352051,-0.275645373576229,-0.153727296383052,4
"4",4,0,0.498766876854128,0.460791035872176,0.404740577066032,0.454766163264112,0.583189462653748,0.54991229700532,0.505124468584393,0.546075409414487,0.435695532421723,0.396527934642557,0.337640869021735,0.389954778695338,0.0250229255195049,-0.188436331977043,-0.209182297730759,-0.124198568062766,0.00975949984925416,-0.0101860915833043,-0.0201599677540939,-0.00686218649604801,0.0313416916434978,-0.294060172713268,-0.30990392035659,-0.190874133808787,4
"5",5,0,0.498766876854128,0.460685827627766,0.403362860550208,0.454271855010701,0.583189462653748,0.548746651358592,0.500515597063757,0.544150570358699,0.435695532421723,0.396979958822878,0.337795047251769,0.390156846165457,0.0249826216231605,-0.153387870074128,-0.213134295874581,-0.113846514775183,0.0101039199447062,-0.0146081106960399,-0.0103564929514561,-0.00495356123426328,0.0310003550404661,-0.227831137403459,-0.269909851542259,-0.155580211301751,4
"6",1,50,0.446382564530174,0.407277793123192,0.415704762633666,0.423121706762344,0.451341826742026,0.4517494242995,0.500690735943963,0.467927328995163,0.441531100797358,0.37077731092437,0.35538296170849,0.389230457810072,0.101182049222335,0.0824421807300994,0.135075455014953,0.106233228322463,0.0351365780340303,0.0208007349793697,0.0345495290882952,0.0301622807005651,0.110903836991587,0.094417599509344,0.157031947707737,0.120784461402889,6
"7",2,50,0.487821166680886,0.44667308780518,0.43611886873726,0.456871041074442,0.519527043658126,0.505312253145667,0.51627569671309,0.513704997838961,0.459762614082376,0.400228418653954,0.377507200708896,0.412499411148409,0.0641924119319537,0.082201359852594,0.0888138596269851,0.0784025438038443,0.0192016502678827,0.0226534530551218,0.0151281021001162,0.0189944018077069,0.0784203415444509,0.098909080944941,0.0974309069963029,0.0915867764952316,5
"8",3,50,0.529980582763825,0.446313952243818,0.437096310880938,0.47113028196286,0.557205722216291,0.504393946238431,0.519023640593109,0.526874436349277,0.505291956239816,0.400228418653954,0.377507200708896,0.427675858534222,-0.116780490519148,0.0812723535302331,0.0876208292355284,0.0173708974155379,-0.0357304786034402,0.0220495581996979,0.0154641506194322,0.000594410071896624,-0.231033212292467,0.0975128562585922,0.0958054218740129,-0.0125716447199541,5
"9",4,50,0.487726137334782,0.448601975383321,0.437160833926907,0.45782964888167,0.517065072920339,0.504988450604122,0.51596410956606,0.512672544363507,0.461537885594489,0.403542812593348,0.379239524602427,0.414773407596755,0.0638437349753163,0.0860495354977315,0.0873141172071402,0.0790691292267293,0.0196759968943739,0.0233679058813982,0.0149664373251068,0.0193367800336263,0.0769732792308069,0.101042668298592,0.0961180494013077,0.0913779989769022,5
"10",5,50,0.491755628143797,0.448454255532547,0.439737108661132,0.459982330779159,0.521428482584881,0.507270295103709,0.519409593301924,0.516036123663505,0.465278114492242,0.401860120285656,0.38125606019428,0.416131431657393,0.0659495915524448,0.0858384727094561,0.0850807168666503,0.0789562603761838,0.0195776924091329,0.0230669058863444,0.0141411863861758,0.0189285948938843,0.0786030393084315,0.101264794067275,0.0940823561705723,0.0913167298487596,5
"11",1,100,0.453295102253578,0.430207920718619,0.423752961251891,0.435751994741363,0.504082945295375,0.480724055495028,0.481558953090104,0.488788651293502,0.411804576911883,0.389299040511727,0.378337588136011,0.393147068519874,0.135453276271685,0.0943567121456803,0.094101313242438,0.107970433886601,0.0397932452405947,0.0248347639368563,0.0200499379302634,0.0282259823692381,0.159143355558196,0.112266401081519,0.10170079330045,0.124370183313388,5
"12",2,100,0.457177128362014,0.432145991147168,0.422354055287064,0.437225724932082,0.510347788040788,0.480616923539648,0.480826352357503,0.490597021312646,0.41404028057393,0.392556121741315,0.376561224513529,0.394385875609591,0.142778423114092,0.0951989663628213,0.0939012847362123,0.110626224737709,0.0444226430462474,0.0252281694594303,0.0198513703733944,0.0298340609596907,0.159966795515392,0.110670572002606,0.102133857158652,0.124257074892217,5
"13",3,100,0.455567890104035,0.428792220897546,0.429282804913708,0.437880971971763,0.506899846703826,0.475964155933276,0.487636647325693,0.490166883320932,0.413676347872502,0.390127408552944,0.383402333332335,0.395735363252594,0.135370350482527,0.0970365398895324,0.10035546845265,0.110920786274903,0.0401389969964753,0.0258008798252718,0.0221531261810638,0.0293643343342703,0.158579661772758,0.114959390066938,0.107350452068036,0.126963167969244,5
"14",4,100,0.454883360340075,0.434035818230068,0.422354055287064,0.437091077952402,0.507577239775882,0.482736786287996,0.480826352357503,0.49038012614046,0.412101271231431,0.394260765842917,0.376561224513529,0.394307753862625,0.14243162585852,0.0937770195187721,0.0942072000459039,0.110138615141065,0.0446084411011688,0.0241917470412258,0.0188834189957744,0.0292278690460563,0.15751806372915,0.110645502296649,0.10286890558144,0.123677490535747,5
