"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",1,0,0.447586218893558,0.440941584763281,0.363056773368051,0.417194859008297,0.438737833329902,0.456426131058484,0.388255621913791,0.427806528767393,0.456798855905999,0.426473210322095,0.340929518012851,0.408067194746982,-0.221680186310726,-0.152487080287074,-0.204904511935521,-0.193023926177774,0.0373201017809376,0.0331221803699355,0.0571110825143112,0.0425177882217281,-0.276723738899877,-0.198873539047523,-0.261536620663818,-0.245711299537073,8
"2",2,0,0.502258790545991,0.431266936448368,0.377569544160256,0.437031757051538,0.536894603327192,0.483551218397836,0.445724553121115,0.488723458282047,0.471820967909158,0.389185958076956,0.327493110761481,0.396166678915865,-0.21926330758853,-0.121168664314611,-0.195679821477283,-0.178703931126808,0.0349890766725588,0.0441162691766665,0.0713300287215278,0.0501451248569177,-0.274305735008173,-0.155401696297684,-0.257335932136092,-0.22901445448065,5
"3",3,0,0.454784046473924,0.440796426127121,0.361141688305727,0.418907386968924,0.432116356816699,0.437717240637323,0.393105942585994,0.420979846680005,0.479961570430821,0.443919240485438,0.333984703785731,0.419288504900663,-0.168732453219389,-0.143287178372956,-0.199531858214653,-0.170517163269,0.0393101553066371,0.0369819498497611,0.0594498707339521,0.0452473252967834,-0.207491391040782,-0.181954020344419,-0.257333997649288,-0.21559313634483,8
"4",4,0,0.503946175826484,0.445208469118283,0.375580502375981,0.441578382440249,0.540232013956875,0.521233224024979,0.448801680999935,0.503422306327263,0.472227974393059,0.388538042031407,0.322899960623538,0.394555325682668,-0.22052634470251,-0.134673701862405,-0.202451208608076,-0.18588375172433,0.0349136088870914,0.0420104010667787,0.071607067564713,0.0495103591728611,-0.274596429615049,-0.167014632718541,-0.266447456597812,-0.236019506310467,5
"5",5,0,0.466964686492543,0.419212493153246,0.373923402882572,0.420033527509454,0.419503294779975,0.39816657306168,0.372303185804146,0.3966576845486,0.526535379252771,0.442607426744934,0.375557783564954,0.44823352985422,-0.171686598584624,-0.232883703179573,-0.2101212805368,-0.204897194100332,0.0379762235393062,0.0472646564331682,0.0641108856435162,0.0497839218719969,-0.218286847252021,-0.291022891031195,-0.271229797575375,-0.260179845286197,11
"6",1,50,0.421037737160143,0.419042838105958,0.379054697348955,0.406378424205019,0.422438563146976,0.458903783845554,0.455392195994536,0.445578180995688,0.419646170876376,0.385553212955036,0.324635905738941,0.376611763190118,-0.121045671491806,-0.171131617083697,-0.211587948444301,-0.167921745673268,0.0442026967386764,0.033738053501994,0.0437484690832047,0.0405630731079584,-0.152401707460019,-0.216993597455206,-0.275618127559596,-0.215004477491607,7
"7",2,50,0.511432438968897,0.429618992794971,0.405677872247397,0.448909768003755,0.457603665801222,0.417089147785869,0.396634046613586,0.423775620066892,0.579613450839866,0.44292497625831,0.415143745588644,0.479227390895606,-0.0974312561520936,-0.192878503746641,-0.222604735313496,-0.170971498404077,0.0511429416295241,0.0378454889704517,0.0570132323028128,0.0486672209675962,-0.124132766076031,-0.241437623242017,-0.288694707872454,-0.218088365730167,10
"8",3,50,0.503996424508658,0.468966260237383,0.445973685692957,0.472978790146333,0.46664629008927,0.463949245089333,0.455643335078566,0.462079623419056,0.547845720510191,0.474092966705213,0.436705925454493,0.486214870889966,-0.113879210671193,-0.194567936672161,-0.223620719010892,-0.177355955451415,0.0466388172126776,0.0365907808607406,0.0463766407382376,0.0432020796038853,-0.143590001618658,-0.246545611206919,-0.291242742838791,-0.22712611855479,9
"9",4,50,0.466926168411119,0.418610424783315,0.372922398825875,0.419486330673436,0.454781997982263,0.454120354012955,0.454834642125578,0.454578998040266,0.47973671150957,0.388251137240064,0.316011197114232,0.394666348621289,-0.125152959652332,-0.117627249184107,-0.211177171083104,-0.151319126639848,0.0444439816280848,0.0335544730255431,0.0440129444612802,0.040670466371636,-0.158721057045695,-0.156055572190837,-0.276073373641605,-0.196950000959379,7
"10",5,50,0.46979703620923,0.4308641781235,0.381615736905679,0.427425650412803,0.459073714696815,0.457665012261297,0.457891122207225,0.458209949721779,0.481033303069777,0.407028608578947,0.327123575827729,0.405061829158818,-0.0509085904940463,-0.160368218386599,-0.210894085211333,-0.140723631363993,0.0431145537871006,0.037648558146651,0.0437491541461696,0.0415040886933071,-0.0674292590026588,-0.201708394856642,-0.270256824694029,-0.179798159517777,7
