"","Method","Noise","Choice","Measure","Mean","S.d."
"74","ResNMTF","60","Overall","F_score",0.000545964782969559,4.8430949277426e-05
"75","ResNMTF","60","Overall","BiS",0.0766884741243696,0.0101135402424408
"76","ResNMTF","70","Overall","CSR",0.78062962962963,0.0406397926299874
"77","ResNMTF","70","Overall","Rel",0.000556424251786708,6.37007806124021e-05
"78","ResNMTF","70","Overall","Rec",0.000509674011640555,5.72046378431462e-05
"79","ResNMTF","70","Overall","F_score",0.000531098078456975,5.78817981874766e-05
"80","ResNMTF","70","Overall","BiS",0.0615568183830289,0.00838148397248737
"81","ResNMTF","80","Overall","CSR",0.775333333333334,0.0412803767134018
"82","ResNMTF","80","Overall","Rel",0.000544208262054988,7.42859200153416e-05
"83","ResNMTF","80","Overall","Rec",0.000487909065535075,6.02369265929651e-05
"84","ResNMTF","80","Overall","F_score",0.000513433888816644,6.42646345724111e-05
"85","ResNMTF","80","Overall","BiS",0.050166050345145,0.00762963382686242
"86","ResNMTF","90","Overall","CSR",0.781851851851852,0.020472992533058
"87","ResNMTF","90","Overall","Rel",0.000540514604304664,5.06204364125251e-05
"88","ResNMTF","90","Overall","Rec",0.000483631599262982,3.61780625037544e-05
"89","ResNMTF","90","Overall","F_score",0.000509583306454079,3.98814054724821e-05
"90","ResNMTF","90","Overall","BiS",0.0397544755777555,0.00668036731496829
"91","ResNMTF","100","Overall","CSR",0.780743386243386,0.0358877480202198
"92","ResNMTF","100","Overall","Rel",0.000523269209626954,5.84151623178283e-05
"93","ResNMTF","100","Overall","Rec",0.000467387693190274,4.42981163837107e-05
"94","ResNMTF","100","Overall","F_score",0.000492609142283288,4.74715120749972e-05
"95","ResNMTF","100","Overall","BiS",0.0308314844150206,0.00568379303248982
"96","GFA","1","Overall","CSR",0.9035,0.0177738316327429
"97","GFA","1","Overall","Rel",0.000549581893448974,0.000144790920379069
"98","GFA","1","Overall","Rec",0.000661331310571559,0.000226528860034138
"99","GFA","1","Overall","F_score",0.000595345762371394,0.000169486448454182
"100","GFA","1","Overall","BiS",0.22486270861612,0.110502433430972
"101","GFA","2","Overall","CSR",0.905,0.021904291355759
"102","GFA","2","Overall","Rel",0.000552493991842501,0.000132585002943205
"103","GFA","2","Overall","Rec",0.00065803743334272,0.000182417176358983
"104","GFA","2","Overall","F_score",0.000596730370001229,0.000147902262468714
"105","GFA","2","Overall","BiS",0.218694531658745,0.0936478069264014
"106","GFA","3","Overall","CSR",0.904,0.0196946385566932
"107","GFA","3","Overall","Rel",0.000546667762840863,0.000126096714816479
"108","GFA","3","Overall","Rec",0.000653083591227558,0.000152891517733829
"109","GFA","3","Overall","F_score",0.000591941823213374,0.000133545423704208
"110","GFA","3","Overall","BiS",0.19980260675888,0.0777001205472645
"111","GFA","4","Overall","CSR",0.904,0.0196946385566932
"112","GFA","4","Overall","Rel",0.000559148988457292,0.000132497816796679
"113","GFA","4","Overall","Rec",0.000670942731475897,0.000158216671386834
"114","GFA","4","Overall","F_score",0.000606627876243457,0.000137354961172438
"115","GFA","4","Overall","BiS",0.200819827068033,0.0619553295299001
"116","GFA","5","Overall","CSR",0.903,0.0171446607997765
"117","GFA","5","Overall","Rel",0.000537143281266981,0.000115768401983048
"118","GFA","5","Overall","Rec",0.000642922849178455,0.00017906414936765
"119","GFA","5","Overall","F_score",0.000580866715060523,0.000132058613727467
"120","GFA","5","Overall","BiS",0.167090451447833,0.062449564716102
"121","GFA","6","Overall","CSR",0.905,0.021904291355759
"122","GFA","6","Overall","Rel",0.000555946249094226,0.000117913719684819
"123","GFA","6","Overall","Rec",0.00066512718211096,0.000164052651771494
"124","GFA","6","Overall","F_score",0.000602202343599692,0.000129012055496521
"125","GFA","6","Overall","BiS",0.153805709048335,0.0593486948187505
"126","GFA","7","Overall","CSR",0.926294871794872,0.0443979102363379
"127","GFA","7","Overall","Rel",0.000610168517972846,0.000173813632686835
"128","GFA","7","Overall","Rec",0.00078508044977389,0.000310215129830037
"129","GFA","7","Overall","F_score",0.000680419214591511,0.00021754955830282
"130","GFA","7","Overall","BiS",0.136816508629157,0.0548419681507357
"131","GFA","8","Overall","CSR",0.916513125763126,0.059792471690877
"132","GFA","8","Overall","Rel",0.000732010905222109,0.000190520749572485
"133","GFA","8","Overall","Rec",0.00103759212935916,0.000355508887062745
"134","GFA","8","Overall","F_score",0.000849581511655304,0.000241708010492534
