"","Method","Parameter","Choice","Measure","Mean","S.d."
"85","iSSVD","85","Overall","BiS",0.0719380469518485,0.00322087767509172
"86","iSSVD","90","Overall","CSR",0.9,0
"87","iSSVD","90","Overall","Rel",0.191115702479339,0
"88","iSSVD","90","Overall","Rec",0.166942148760331,0
"89","iSSVD","90","Overall","F_score",0.178212911255979,0
"90","iSSVD","90","Overall","BiS",0.0733443882006498,0.00351720281025239
"91","iSSVD","95","Overall","CSR",0.9,0
"92","iSSVD","95","Overall","Rel",0.191115702479339,0
"93","iSSVD","95","Overall","Rec",0.166942148760331,0
"94","iSSVD","95","Overall","F_score",0.178212911255979,0
"95","iSSVD","95","Overall","BiS",0.0725961608131991,0.00362293884200732
"96","iSSVD","100","Overall","CSR",0.9,0
"97","iSSVD","100","Overall","Rel",0.191115702479339,0
"98","iSSVD","100","Overall","Rec",0.166942148760331,0
"99","iSSVD","100","Overall","F_score",0.178212911255979,0
"100","iSSVD","100","Overall","BiS",0.0733755463715927,0.00350004173018212
