"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"GFA","0.468617081906324","0.468617081906324","0.468617081906324","0.521659106895963","0.521659106895963","0.521659106895963","0.425366081360192","0.425366081360192","0.425366081360192","-0.0484536472545091","-0.0745280309792889","-0.061490839116899"
"Plaid","0.587239219715461","0","0.29361960985773","0.564068643961294","0","0.282034321980647","0.612394922103779","0","0.306197461051889","0.290506618822945","0","0.290506618822945"
"spectral","0","0","0","0","0","0","0","0","0","0","0","0"
