"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","0.492702373656101","0.492726198308471","0.492702373656101","0.494109915744923","0.49378785104552","0.553908430802979","0.493565696411575","0.554080333443249","0.491708391767517","0.492553693289357","0.491708391767517","0.494879019057807"
"2","28000","40000","28000","2000","2000","38000","39000","37000","12000","12000","12000","2000"
"3","3","3","3","3","3","0","0","0","0","0","0","0"
