month,tmax,tmin,af,rain,sun,season
1,8.9,3.4,5,71.7,32.4,0
2,4.9,-0.9,15,45.0,70.5,0
3,8.0,1.3,7,56.0,66.8,1
4,13.6,3.9,4,20.3,207.6,1
5,17.1,8.6,0,59.5,149.1,1
6,20.6,10.2,0,26.6,262.8,2
7,23.9,13.9,0,68.7,229.2,2
8,21.8,13.6,0,93.0,141.3,2
9,19.6,11.7,0,3.1,118.5,3
10,18.2,9.9,0,5.1,117.3,3
11,9.6,3.3,7,68.7,71.1,3
12,6.1,1.4,9,46.1,18.5,0
1,7.1,2.1,9,67.7,31.9,0
2,7.2,0.8,12,39.9,105.5,0
3,8.1,0.7,13,37.6,99.7,1
4,11.4,3.7,3,59.5,122.7,1
5,19.2,9.2,0,25.1,219.2,1
6,23.6,12.7,0,70.1,273.3,2
7,21.3,12.3,0,53.0,181.3,2
8,22.3,13.0,0,53.6,184.3,2
9,20.3,11.4,0,49.8,157.0,3
10,15.7,8.1,0,10.4,100.9,3
11,11.9,5.5,1,151.2,59.8,3
12,7.0,1.7,10,38.5,45.3,0
1,7.8,2.8,6,70.5,42.5,0
2,8.6,1.9,5,16.6,72.6,0
3,9.1,2.3,7,42.4,104.7,1
4,12.2,4.8,1,47.3,121.5,1
5,18.1,8.2,0,76.7,232.9,1
6,17.8,10.1,0,127.7,145.4,2
7,24.1,13.8,0,19.3,224.1,2
8,21.3,13.5,0,64.4,147.5,2
9,20.7,10.2,0,11.1,173.9,3
10,17.2,8.1,0,57.6,147.0,3
11,10.4,3.0,7,63.9,96.3,3
12,9.3,4.5,1,21.0,31.4,0
1,6.9,2.1,6,55.3,40.9,0
2,7.9,2.6,2,43.4,35.0,0
3,12.4,3.3,2,54.0,144.5,1
4,12.9,5.7,0,38.3,120.8,1
5,16.0,7.6,0,25.9,171.7,1
6,17.5,9.0,0,15.4,166.3,2
7,22.3,12.7,0,27.2,151.4,2
8,21.8,12.1,0,15.4,190.0,2
9,17.3,9.0,0,27.6,117.5,3
10,15.6,8.5,0,17.3,112.7,3
11,9.9,3.2,9,57.7,78.0,3
12,9.4,3.5,2,66.7,56.5,0
1,7.3,2.0,10,13.1,28.0,0
2,8.1,0.7,15,12.5,66.0,0
3,11.5,2.2,6,10.4,138.1,1
4,12.5,3.9,2,58.1,140.5,1
5,16.9,8.6,0,54.2,167.2,1
6,21.9,11.6,0,68.8,254.5,2
7,21.4,12.7,0,49.1,173.7,2
8,23.7,13.8,0,40.9,189.1,2
9,20.7,11.6,0,60.7,180.4,3
10,13.9,6.1,0,38.6,98.9,3
11,10.3,2.5,11,26.6,87.0,3
12,8.6,2.1,9,52.3,59.6,0
1,9.6,3.6,2,53.0,46.0,0
2,9.2,3.0,2,57.8,67.2,0
3,10.3,2.8,4,27.2,101.3,1
4,14.0,4.7,0,15.2,159.3,1
5,17.0,7.5,0,22.4,196.4,1
6,20.1,10.6,0,67.2,201.7,2
7,20.9,12.5,0,29.8,187.7,2
8,21.5,12.1,0,67.8,190.3,2
9,17.5,9.5,0,140.0,156.0,3
