"","rep","omega","F score (V1)","F score (V2)","F score (V3)","F score","Relevance (V1)","Relevance (V2)","Relevance (V3)","Relevance","Recovery (V1)","Recovery (V2)","Recovery (V3)","Recovery","BiS-E (V1)","BiS-E (V2)","BiS-E (V3)","BiS-E","BiS-M (V1)","BiS-M (V2)","BiS-M (V3)","BiS-M","BiS-C (V1)","BiS-C (V2)","BiS-C (V3)","BiS-C","k"
"1","1","none","0.50329821324172","0.50329821324172","0.50329821324172","0.50329821324172","0.609014698116529","0.609014698116529","0.609014698116529","0.609014698116529","0.428854955113536","0.428854955113536","0.428854955113536","0.428854955113536","0.132267686439298","0.0945212401369119","0.122833196075068","0.116540707550426","0.0453460482531424","0.0258573702609746","0.0377521012696822","0.0363185065945997","0.147984651427386","0.102944091795167","0.134413909970551","0.128447551064368","4"
"2","1","0","0.50329821324172","0.50329821324172","0.50329821324172","0.50329821324172","0.609014698116529","0.609014698116529","0.609014698116529","0.609014698116529","0.428854955113536","0.428854955113536","0.428854955113536","0.428854955113536","0.132267686439298","0.0945212401369119","0.122833196075068","0.116540707550426","0.0453460482531424","0.0258573702609746","0.0377521012696822","0.0363185065945997","0.147984651427386","0.102944091795167","0.134413909970551","0.128447551064368","4"
"3","1","0.05","0.50329821324172","0.50329821324172","0.50329821324172","0.50329821324172","0.609014698116529","0.609014698116529","0.609014698116529","0.609014698116529","0.428854955113536","0.428854955113536","0.428854955113536","0.428854955113536","0.132267686439298","0.0945212401369119","0.122833196075068","0.116540707550426","0.0453460482531424","0.0258573702609746","0.0377521012696822","0.0363185065945997","0.147984651427386","0.102944091795167","0.134413909970551","0.128447551064368","4"
"4","1","0.1","0.50329821324172","0.50329821324172","0.50329821324172","0.50329821324172","0.609014698116529","0.609014698116529","0.609014698116529","0.609014698116529","0.428854955113536","0.428854955113536","0.428854955113536","0.428854955113536","0.132267686439298","0.0945212401369119","0.122833196075068","0.116540707550426","0.0453460482531424","0.0258573702609746","0.0377521012696822","0.0363185065945997","0.147984651427386","0.102944091795167","0.134413909970551","0.128447551064368","4"
"5","1","0.15","0.50329821324172","0.50329821324172","0.50329821324172","0.50329821324172","0.609014698116529","0.609014698116529","0.609014698116529","0.609014698116529","0.428854955113536","0.428854955113536","0.428854955113536","0.428854955113536","0.132267686439298","0.0945212401369119","0.122833196075068","0.116540707550426","0.0453460482531424","0.0258573702609746","0.0377521012696822","0.0363185065945997","0.147984651427386","0.102944091795167","0.134413909970551","0.128447551064368","4"
"6","1","0.2","0.50329821324172","0.50329821324172","0.50329821324172","0.50329821324172","0.609014698116529","0.609014698116529","0.609014698116529","0.609014698116529","0.428854955113536","0.428854955113536","0.428854955113536","0.428854955113536","0.132267686439298","0.0945212401369119","0.122833196075068","0.116540707550426","0.0453460482531424","0.0258573702609746","0.0377521012696822","0.0363185065945997","0.147984651427386","0.102944091795167","0.134413909970551","0.128447551064368","4"
"7","1","0.25","0.451041058028033","0.451041058028033","0.451041058028033","0.451041058028033","0.821767001114827","0.821767001114827","0.821767001114827","0.821767001114827","0.310820000602609","0.310820000602609","0.310820000602609","0.310820000602609","-0.119021735728719","-0.155684131673782","-0.10943416678995","-0.12804667806415","0.00241648591965765","-0.00908371208904619","0.000662992651117512","-0.00200141117275701","-0.252345233432333","-0.270836072774461","-0.204455736085507","-0.2425456807641","2"
"8","1","0.3","0.451041058028033","0.451041058028033","0.451041058028033","0.451041058028033","0.821767001114827","0.821767001114827","0.821767001114827","0.821767001114827","0.310820000602609","0.310820000602609","0.310820000602609","0.310820000602609","-0.124676644220075","-0.144089474202479","-0.137472861018715","-0.13541299314709","0.00978279285603332","-0.0104423153628455","-0.00609682425225704","-0.00225211558635642","-0.209803420118724","-0.254394807282986","-0.25763772099333","-0.240611982798346","2"
"9","1","0.35","0.451041058028033","0.451041058028033","0.451041058028033","0.451041058028033","0.821767001114827","0.821767001114827","0.821767001114827","0.821767001114827","0.310820000602609","0.310820000602609","0.310820000602609","0.310820000602609","-0.14050975089236","-0.168793431048899","-0.125041804447162","-0.144781662129474","0.0037527340020127","-0.0111569602669695","-0.00814394454922278","-0.00518272360472651","-0.250270002830686","-0.280193056274838","-0.245050319388706","-0.258504459498077","2"
"10","1","0.4","0.30057376983491","0.451041058028033","0.451041058028033","0.400885295296992","0.855072463768116","0.821767001114827","0.821767001114827","0.832868821999257","0.18233372080054","0.310820000602609","0.310820000602609","0.267991240668586","0.0804224550187107","-0.161893098529745","-0.121160800588402","-0.0675438146998122","0.0329985590273056","-0.0122735839814665","-0.00425502543810285","0.00548998320257874","0.0765820670345318","-0.270399653095047","-0.222281829728779","-0.138699805263098","2"
"11","1","0.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","1","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","1","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","1","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
